AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 1 3 3 0 3 
2 1 1 4 0 3 
3 1 5 2 0 3 
4 2 7 0 2 2 
5 0 5 3 1 2 
6 3 12 3 0 1 
7 1 6 0 1 3 
8 0 0 0 0 5 
9 24 1 0 1 2 
10 1 0 1 2 3 
