#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8
158 10 0 0 0 0 0 0 0 0
159 9 0 0 0 0 0 0 0 0
160 13 0 0 0 0 0 0 0 0
161 7 0 0 0 0 0 0 0 0
162 8 0 0 0 0 0 0 0 0
163 8 0 0 0 0 0 0 0 0
164 12 0 0 0 0 0 0 0 0
165 11 0 0 0 0 0 0 0 0
166 7 0 0 0 0 0 0 0 0
167 7 0 0 0 0 0 0 0 0
168 8 0 0 0 0 0 0 0 0
169 12 0 0 0 0 0 0 0 0
170 9 0 0 0 0 0 0 0 0
171 9 0 0 0 0 0 0 0 0
172 10 0 0 0 0 0 0 0 0
173 3 0 0 0 0 0 0 0 0
174 11 0 0 0 0 0 0 0 0
175 4 0 0 0 0 0 0 0 0
176 14 0 0 0 0 0 0 0 0
177 4 0 0 0 0 0 0 0 0
178 14 0 0 0 0 0 0 0 0
179 6 0 0 0 0 0 0 0 0
180 7 0 0 0 0 0 0 0 0
181 7 0 0 0 0 0 0 0 0
182 7 0 0 0 0 0 0 0 0
183 8 0 0 0 0 0 0 0 0
184 6 0 0 0 0 0 0 0 0
185 7 0 0 0 0 0 0 0 0
186 7 0 0 0 0 0 0 0 0
187 10 0 0 0 0 0 0 0 0
188 10 0 0 0 0 0 0 0 0
189 8 0 0 0 0 0 0 0 0
190 8 0 0 0 0 0 0 0 0
191 6 0 0 0 0 0 0 0 0
192 5 0 0 0 0 0 0 0 0
193 7 0 0 0 0 0 0 0 0
194 6 0 0 0 0 0 0 0 0
195 7 0 0 0 0 0 0 0 0
196 5 0 0 0 0 0 0 0 0
197 9 0 0 0 0 0 0 0 0
198 9 0 0 0 0 0 0 0 0
199 11 0 0 0 0 0 0 0 0
200 5 0 0 0 0 0 0 0 0
201 3 0 0 0 0 0 0 0 0
202 8 0 0 0 0 0 0 0 0
203 12 0 0 0 0 0 0 0 0
204 3 0 0 0 0 0 0 0 0
205 7 0 0 0 0 0 0 0 0
206 2 0 0 0 0 0 0 0 0
207 8 0 0 0 0 0 0 0 0
208 6 0 0 0 0 0 0 0 0
209 6 0 0 0 0 0 0 0 0
210 1 0 0 0 0 0 0 0 0
211 7 0 0 0 0 0 0 0 0
212 4 0 0 0 0 0 0 0 0
213 6 0 0 0 0 0 0 0 0
214 7 0 0 0 0 0 0 0 0
215 5 0 0 0 0 0 0 0 0
216 10 0 0 0 0 0 0 0 0
217 4 0 0 0 0 0 0 0 0
218 8 0 0 0 0 0 0 0 0
219 7 0 0 0 0 0 0 0 0
220 9 0 0 0 0 0 0 0 0
221 6 0 0 0 0 0 0 0 0
222 8 0 0 0 0 0 0 0 0
223 7 0 0 0 0 0 0 0 0
224 0 0 0 0 0 0 0 0 0
225 9 0 0 0 0 0 0 0 0
226 5 0 0 0 0 0 0 0 0
227 4 0 0 0 0 0 0 0 0
228 7 0 0 0 0 0 0 0 0
229 11 0 0 0 0 0 0 0 0
230 9 0 0 0 0 0 0 0 0
231 8 0 0 0 0 0 0 0 0
232 3 0 0 0 0 0 0 0 0
233 2 0 0 0 0 0 0 0 0
234 4 0 0 0 0 0 0 0 0
235 9 0 0 0 0 0 0 0 0
236 5 0 0 0 0 0 0 0 0
237 2 0 0 0 0 0 0 0 0
238 7 0 0 0 0 0 0 0 0
239 5 0 0 0 0 0 0 0 0
240 9 0 0 0 0 0 0 0 0
241 4 0 0 0 0 0 0 0 0
242 7 0 0 0 0 0 0 0 0
243 10 0 0 0 0 0 0 0 0
244 6 0 0 0 0 0 0 0 0
245 10 0 0 0 0 0 0 0 0
246 5 0 0 0 0 0 0 0 0
247 7 0 0 0 0 0 0 0 0
248 1 0 0 0 0 0 0 0 0
249 8 0 0 0 0 0 0 0 0
250 11 0 0 0 0 0 0 0 0
251 5 0 0 0 0 0 0 0 0
252 4 0 0 0 0 0 0 0 0
253 6 0 0 0 0 0 0 0 0
254 10 0 0 0 0 0 0 0 0
255 3 0 0 0 0 0 0 0 0
256 1 0 0 0 0 0 0 0 0
257 4 0 0 0 0 0 0 0 0
258 6 0 0 0 0 0 0 0 0
259 7 0 0 0 0 0 0 0 0
260 6 0 0 0 0 0 0 0 0
261 5 0 0 0 0 0 0 0 0
262 3 0 0 0 0 0 0 0 0
263 10 0 0 0 0 0 0 0 0
264 5 0 0 0 0 0 0 0 0
265 6 0 0 0 0 0 0 0 0
266 6 0 0 0 0 0 0 0 0
267 4 0 0 0 0 0 0 0 0
268 8 0 0 0 0 0 0 0 0
269 4 0 0 0 0 0 0 0 0
270 1 0 0 0 0 0 0 0 0
271 4 0 0 0 0 0 0 0 0
272 4 0 0 0 0 0 0 0 0
273 2 0 0 0 0 0 0 0 0
274 6 0 0 0 0 0 0 0 0
275 5 0 0 0 0 0 0 0 0
276 3 0 0 0 0 0 0 0 0
277 4 0 0 0 0 0 0 0 0
278 5 0 0 0 0 0 0 0 0
279 6 0 0 0 0 0 0 0 0
280 6 0 0 0 0 0 0 0 0
281 5 0 0 0 0 0 0 0 0
282 3 0 0 0 0 0 0 0 0
283 6 0 0 0 0 0 0 0 0
284 8 0 0 0 0 0 0 0 0
285 7 0 0 0 0 0 0 0 0
286 2 0 0 0 0 0 0 0 0
287 6 0 0 0 0 0 0 0 0
288 1 0 0 0 0 0 0 0 0
289 7 0 0 0 0 0 0 0 0
290 7 0 0 0 0 0 0 0 0
291 5 0 0 0 0 0 0 0 0
292 5 0 0 0 0 0 0 0 0
293 5 0 0 0 0 0 0 0 0
294 2 0 0 0 0 0 0 0 0
295 4 0 0 0 0 0 0 0 0
296 4 0 0 0 0 0 0 0 0
297 7 0 0 0 0 0 0 0 0
298 5 0 0 0 0 0 0 0 0
299 6 0 0 0 0 0 0 0 0
300 3 0 0 0 0 0 0 0 0
301 0 0 0 0 0 0 0 0 0
302 5 0 0 0 0 0 0 0 0
303 3 0 0 0 0 0 0 0 0
304 4 0 0 0 0 0 0 0 0
305 10 0 0 0 0 0 0 0 0
306 6 0 0 0 0 0 0 0 0
307 9 0 0 0 0 0 0 0 0
308 10 0 0 0 0 0 0 0 0
309 3 0 0 0 0 0 0 0 0
310 2 0 0 0 0 0 0 0 0
311 7 0 0 0 0 0 0 0 0
312 7 0 0 0 0 0 0 0 0
313 8 0 0 0 0 0 0 0 0
314 2 0 0 0 0 0 0 0 0
315 2 0 0 0 0 0 0 0 0
316 3 0 0 0 0 0 0 0 0
317 5 0 0 0 0 0 0 0 0
318 3 0 0 0 0 0 0 0 0
319 4 0 0 0 0 0 0 0 0
320 4 0 0 0 0 0 0 0 0
321 6 0 0 0 0 0 0 0 0
322 1 0 0 0 0 0 0 0 0
323 7 0 0 0 0 0 0 0 0
324 4 0 0 0 0 0 0 0 0
325 5 0 0 0 0 0 0 0 0
326 3 0 0 0 0 0 0 0 0
327 3 0 0 0 0 0 0 0 0
328 5 0 0 0 0 0 0 0 0
329 4 0 0 0 0 0 0 0 0
330 5 0 0 0 0 0 0 0 0
331 9 0 0 0 0 0 0 0 0
332 6 0 0 0 0 0 0 0 0
333 8 0 0 0 0 0 0 0 0
334 4 0 0 0 0 0 0 0 0
335 5 0 0 0 0 0 0 0 0
336 3 0 0 0 0 0 0 0 0
337 7 0 0 0 0 0 0 0 0
338 6 0 0 0 0 0 0 0 0
339 3 0 0 0 0 0 0 0 0
340 7 0 0 0 0 0 0 0 0
341 6 0 0 0 0 0 0 0 0
342 4 0 0 0 0 0 0 0 0
343 6 0 0 0 0 0 0 0 0
344 5 0 0 0 0 0 0 0 0
345 8 0 0 0 0 0 0 0 0
346 4 0 0 0 0 0 0 0 0
347 10 0 0 0 0 0 0 0 0
348 1 0 0 0 0 0 0 0 0
349 5 0 0 0 0 0 0 0 0
350 6 0 0 0 0 0 0 0 0
351 5 0 0 0 0 0 0 0 0
352 5 0 0 0 0 0 0 0 0
353 5 0 0 0 0 0 0 0 0
354 5 0 0 0 0 0 0 0 0
355 5 0 0 0 0 0 0 0 0
356 1 0 0 0 0 0 0 0 0
357 4 0 0 0 0 0 0 0 0
358 2 0 0 0 0 0 0 0 0
359 1 0 0 0 0 0 0 0 0
360 1 0 0 0 0 0 0 0 0
361 2 0 0 0 0 0 0 0 0
362 1 0 0 0 0 0 0 0 0
363 1 0 0 0 0 0 0 0 0
364 6 0 0 0 0 0 0 0 0
365 4 0 0 0 0 0 0 0 0
366 5 0 0 0 0 0 0 0 0
367 8 0 0 0 0 0 0 0 0
368 6 0 0 0 0 0 0 0 0
369 5 0 0 0 0 0 0 0 0
370 1 0 0 0 0 0 0 0 0
371 3 0 0 0 0 0 0 0 0
372 4 0 0 0 0 0 0 0 0
373 1 0 0 0 0 0 0 0 0
374 2 0 0 0 0 0 0 0 0
375 1 0 0 0 0 0 0 0 0
376 3 0 0 0 0 0 0 0 0
377 3 0 0 0 0 0 0 0 0
378 4 0 0 0 0 0 0 0 0
379 6 0 0 0 0 0 0 0 0
380 2 0 0 0 0 0 0 0 0
381 1 0 0 0 0 0 0 0 0
382 4 0 0 0 0 0 0 0 0
383 5 0 0 0 0 0 0 0 0
384 5 0 0 0 0 0 0 0 0
385 0 0 0 0 0 0 0 0 0
386 4 0 0 0 0 0 0 0 0
387 2 0 0 0 0 0 0 0 0
388 3 0 0 0 0 0 0 0 0
389 6 0 0 0 0 0 0 0 0
390 4 0 0 0 0 0 0 0 0
391 4 0 0 0 0 0 0 0 0
392 3 0 0 0 0 0 0 0 0
393 0 0 0 0 0 0 0 0 0
394 7 0 0 0 0 0 0 0 0
395 4 0 0 0 0 0 0 0 0
396 0 0 0 0 0 0 0 0 0
397 3 0 0 0 0 0 0 0 0
398 1 0 0 0 0 0 0 0 0
399 3 0 0 0 0 0 0 0 0
400 5 0 0 0 0 0 0 0 0
401 1 0 0 0 0 0 0 0 0
402 2 0 0 0 0 0 0 0 0
403 2 0 0 0 0 0 0 0 0
404 0 0 0 0 0 0 0 0 0
405 2 0 0 0 0 0 0 0 0
406 0 0 0 0 0 0 0 0 0
407 2 0 0 0 0 0 0 0 0
408 7 0 0 0 0 0 0 0 0
409 0 0 0 0 0 0 0 0 0
410 1 0 0 0 0 0 0 0 0
411 4 0 0 0 0 0 0 0 0
412 0 0 0 0 0 0 0 0 0
413 5 0 0 0 0 0 0 0 0
414 2 0 0 0 0 0 0 0 0
415 5 0 0 0 0 0 0 0 0
416 4 0 0 0 0 0 0 0 0
417 7 0 0 0 0 0 0 0 0
418 3 0 0 0 0 0 0 0 0
419 2 0 0 0 0 0 0 0 0
420 5 0 0 0 0 0 0 0 0
421 5 0 0 0 0 0 0 0 0
422 2 0 0 0 0 0 0 0 0
423 2 0 0 0 0 0 0 0 0
424 0 0 0 0 0 0 0 0 0
425 6 0 0 0 0 0 0 0 0
426 1 0 0 0 0 0 0 0 0
427 4 0 0 0 0 0 0 0 0
428 2 0 0 0 0 0 0 0 0
429 6 0 0 0 0 0 0 0 0
430 2 0 0 0 0 0 0 0 0
431 0 0 0 0 0 0 0 0 0
432 4 0 0 0 0 0 0 0 0
433 3 0 0 0 0 0 0 0 0
434 0 0 0 0 0 0 0 0 0
435 5 0 0 0 0 0 0 0 0
436 0 0 0 0 0 0 0 0 0
437 0 0 0 0 0 0 0 0 0
438 3 0 0 0 0 0 0 0 0
439 0 0 0 0 0 0 0 0 0
440 6 0 0 0 0 0 0 0 0
441 0 0 0 0 0 0 0 0 0
442 0 0 0 0 0 0 0 0 0
443 1 0 0 0 0 0 0 0 0
444 3 0 0 0 0 0 0 0 0
445 3 0 0 0 0 0 0 0 0
446 0 0 0 0 0 0 0 0 0
447 5 0 0 0 0 0 0 0 0
448 7 0 0 0 0 0 0 0 0
449 1 0 0 0 0 0 0 0 0
450 4 0 0 0 0 0 0 0 0
451 3 0 0 0 0 0 0 0 0
452 5 0 0 0 0 0 0 0 0
453 5 0 0 0 0 0 0 0 0
454 0 0 0 0 0 0 0 0 0
455 3 0 0 0 0 0 0 0 0
456 0 0 0 0 0 0 0 0 0
457 3 0 0 0 0 0 0 0 0
458 2 0 0 0 0 0 0 0 0
459 0 0 0 0 0 0 0 0 0
460 0 0 0 0 0 0 0 0 0
461 2 0 0 0 0 0 0 0 0
462 4 0 0 0 0 0 0 0 0
463 0 0 0 0 0 0 0 0 0
464 5 0 0 0 0 0 0 0 0
465 1 0 0 0 0 0 0 0 0
466 5 0 0 0 0 0 0 0 0
467 5 0 0 0 0 0 0 0 0
468 2 0 0 0 0 0 0 0 0
469 5 0 0 0 0 0 0 0 0
470 0 0 0 0 0 0 0 0 0
471 3 0 0 0 0 0 0 0 0
472 3 0 0 0 0 0 0 0 0
473 2 0 0 0 0 0 0 0 0
474 2 0 0 0 0 0 0 0 0
475 1 0 0 0 0 0 0 0 0
476 2 0 0 0 0 0 0 0 0
477 4 0 0 0 0 0 0 0 0
478 4 0 0 0 0 0 0 0 0
479 0 0 0 0 0 0 0 0 0
480 3 0 0 0 0 0 0 0 0
481 6 0 0 0 0 0 0 0 0
482 2 0 0 0 0 0 0 0 0
483 1 0 0 0 0 0 0 0 0
484 4 0 0 0 0 0 0 0 0
485 2 0 0 0 0 0 0 0 0
486 1 0 0 0 0 0 0 0 0
487 4 0 0 0 0 0 0 0 0
488 4 0 0 0 0 0 0 0 0
489 0 0 0 0 0 0 0 0 0
490 4 0 0 0 0 0 0 0 0
491 3 0 0 0 0 0 0 0 0
492 1 0 0 0 0 0 0 0 0
493 6 0 0 0 0 0 0 0 0
494 5 0 0 0 0 0 0 0 0
495 12 0 0 0 0 0 0 0 0
496 2 0 0 0 0 0 0 0 0
497 1 0 0 0 0 0 0 0 0
498 2 0 0 0 0 0 0 0 0
499 5 0 0 0 0 0 0 0 0
