AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 0 
2 0 0 0 0 0 
3 0 0 0 0 0 
4 0 0 0 0 0 
5 42 2 0 0 1 
6 37 7 1 0 0 
7 29 4 0 1 1 
8 44 4 1 0 0 
