AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 3 
2 0 0 0 1 4 
3 0 0 0 0 3 
4 0 0 0 0 3 
5 0 0 0 0 4 
6 0 0 0 0 4 
7 0 0 0 0 4 
8 0 0 0 0 4 
9 0 0 0 0 3 
10 0 0 0 0 4 
