#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10
1 5615 0 0 0 0 0 0 0 0 0 0
2 2777 0 0 0 0 0 0 0 0 0 0
3 1883 0 0 0 0 0 0 0 0 0 0
4 1362 0 0 0 0 0 0 0 0 0 0
5 1121 0 0 0 0 0 0 0 0 0 0
6 946 0 0 0 0 0 0 0 0 0 0
7 767 0 0 0 0 0 0 0 0 0 0
8 741 0 0 0 0 0 0 0 0 0 0
9 575 0 0 0 0 0 0 0 0 0 0
10 548 0 0 0 0 0 0 0 0 0 0
