link load
1-2 0.799184
2-1 0.357551
2-3 1
3-2 0.357551
1-4 1
4-1 0.000612245
3-5 0.728571
5-3 0.791633
5-6 1
6-5 0.914286
3-7 0.78551
7-3 0.243061
7-8 1
8-7 0.000204082
5-9 1
9-5 0.273265
3-10 0.999796
10-3 0.357551
