AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 0 
2 97 0 0 0 0 
3 190 0 0 0 0 
4 170 0 0 0 0 
5 0 0 0 0 0 
6 0 0 0 0 0 
7 0 0 0 0 0 
8 0 0 0 0 0 
9 49 0 0 0 0 
10 232 0 0 0 0 
