AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 0 
2 4 4 4 4 4 
3 4 4 4 4 4 
4 4 4 4 4 4 
5 0 0 0 0 0 
6 0 0 0 0 0 
7 0 0 0 0 0 
8 0 0 0 0 0 
9 4 4 4 4 4 
10 4 4 4 4 4 
