AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 0 
2 1 20 9 4 4 
3 2 20 9 5 4 
4 6 20 9 5 4 
5 0 0 0 0 0 
6 0 0 0 0 0 
7 0 0 0 0 0 
8 0 0 0 0 0 
9 2 20 9 5 4 
10 9 20 9 5 4 
