AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 0 
2 0 0 0 0 0 
3 0 0 0 0 200 
4 0 0 0 0 200 
5 0 0 0 0 0 
6 0 0 0 0 0 
7 0 0 0 0 200 
8 0 0 0 0 0 
9 0 0 0 0 200 
10 0 0 0 0 200 
