AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 114 0 0 0 0 
2 91 0 0 0 0 
3 53 0 0 0 0 
4 115 0 0 0 0 
5 94 0 0 0 0 
6 116 0 0 0 0 
7 94 0 0 0 0 
8 116 0 0 0 0 
9 116 0 0 0 0 
10 22 0 0 0 0 
