AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 2 7 1 0 8 
2 3 5 0 1 8 
3 1 0 2 0 9 
4 0 10 0 0 8 
5 1 1 3 2 7 
6 3 12 3 0 6 
7 0 0 3 1 8 
8 1 3 2 2 7 
9 2 2 1 0 9 
10 2 2 1 0 9 
