#rank requests AS=1 AS=2 AS=3
1 1082 0 0 1
2 575 0 1 0
3 383 0 0 0
4 289 0 0 0
5 228 0 0 0
6 200 0 0 0
7 148 0 0 0
8 139 0 0 0
9 117 0 0 0
10 105 0 0 0
