rank	at_0_Kbps	At_490_Kbps	at_1_Gbps
328	NaN	NaN	NaN
329	NaN	NaN	NaN
330	1	1	1
331	1	1	2
332	NaN	NaN	NaN
333	NaN	NaN	NaN
334	NaN	NaN	NaN
335	NaN	NaN	NaN
336	NaN	NaN	NaN
337	NaN	NaN	NaN
338	NaN	NaN	NaN
339	NaN	NaN	NaN
340	NaN	NaN	NaN
341	NaN	NaN	NaN
342	NaN	NaN	NaN
343	1	2	1
344	NaN	NaN	NaN
345	NaN	NaN	NaN
346	NaN	NaN	NaN
347	1	1	2
348	1	1	1
349	NaN	NaN	NaN
350	NaN	NaN	NaN
351	NaN	NaN	NaN
352	NaN	NaN	NaN
353	NaN	NaN	NaN
354	NaN	NaN	NaN
355	NaN	NaN	NaN
356	NaN	NaN	NaN
357	1	1	2
358	1	1	1
359	NaN	NaN	NaN
360	NaN	NaN	NaN
361	1	1	1
362	NaN	NaN	NaN
363	1	2	2
364	1	2	1
365	NaN	NaN	NaN
366	NaN	NaN	NaN
367	1	1	2
368	NaN	NaN	NaN
369	1	1	1
370	1	1	1
371	NaN	NaN	NaN
372	1	1	1
373	1	1	2
374	1	2	1
375	NaN	NaN	NaN
376	NaN	NaN	NaN
377	NaN	NaN	NaN
378	NaN	NaN	NaN
379	NaN	NaN	NaN
380	1	1	1
381	NaN	NaN	NaN
382	NaN	NaN	NaN
383	NaN	NaN	NaN
384	1	1	1
385	NaN	NaN	NaN
386	1	1	1
387	1	1	1
388	NaN	NaN	NaN
389	NaN	NaN	NaN
390	NaN	NaN	NaN
391	NaN	NaN	NaN
392	NaN	NaN	NaN
393	NaN	NaN	NaN
394	1	1	1
395	NaN	NaN	NaN
396	1	1	1
397	1	1	1
398	NaN	NaN	NaN
399	1	1	1
400	NaN	NaN	NaN
401	NaN	NaN	NaN
402	NaN	NaN	NaN
403	NaN	NaN	NaN
404	NaN	NaN	NaN
405	1	1	1
406	NaN	NaN	NaN
407	NaN	NaN	NaN
408	1	1	1
409	1	1	1
410	NaN	NaN	NaN
411	NaN	NaN	NaN
412	NaN	NaN	NaN
413	NaN	NaN	NaN
414	1	2	1
415	NaN	NaN	NaN
416	NaN	NaN	NaN
417	NaN	NaN	NaN
418	NaN	NaN	NaN
419	NaN	NaN	NaN
420	NaN	NaN	NaN
421	1	2	1
422	1	1	1
423	1	2	1
424	NaN	NaN	NaN
425	1	1	1
426	1	1	1
427	NaN	NaN	NaN
428	NaN	NaN	NaN
429	NaN	NaN	NaN
430	NaN	NaN	NaN
431	NaN	NaN	NaN
432	1	1	1
433	1	1	1
434	1	1	1
435	1	1	1
436	1	1	1
437	1	1	1
438	NaN	NaN	NaN
439	1	1	1
440	1	1	2
441	NaN	NaN	NaN
442	NaN	NaN	NaN
443	NaN	NaN	NaN
444	NaN	NaN	NaN
445	NaN	NaN	NaN
446	NaN	NaN	NaN
447	1	1	2
448	1	1	1
449	1	1	1
450	NaN	NaN	NaN
451	NaN	NaN	NaN
452	NaN	NaN	NaN
453	NaN	NaN	NaN
454	NaN	NaN	NaN
455	NaN	NaN	NaN
456	NaN	NaN	NaN
457	1	1	1
458	1	1	1
459	NaN	NaN	NaN
460	NaN	NaN	NaN
461	NaN	NaN	NaN
462	NaN	NaN	NaN
463	NaN	NaN	NaN
464	NaN	NaN	NaN
465	1	1	1
466	NaN	NaN	NaN
467	1	2	2
468	NaN	NaN	NaN
469	NaN	NaN	NaN
470	NaN	NaN	NaN
471	NaN	NaN	NaN
472	1	1	1
473	NaN	NaN	NaN
474	NaN	NaN	NaN
475	1	1	1
476	1	1	2
477	NaN	NaN	NaN
478	NaN	NaN	NaN
479	NaN	NaN	NaN
480	NaN	NaN	NaN
