AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 2 0 3 28 20 
2 0 0 0 28 20 
3 0 0 5 28 20 
4 0 0 24 28 19 
5 0 0 0 28 20 
6 0 0 0 28 20 
7 0 0 38 28 20 
8 0 0 34 28 20 
9 0 0 44 28 20 
10 0 0 7 28 20 
