AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 1 1 0 1 0 
2 0 1 0 1 0 
3 9 1 0 0 0 
4 6 0 1 0 0 
5 0 1 0 1 0 
6 0 1 0 1 0 
7 0 0 0 0 1 
8 0 2 1 0 0 
9 7 2 0 0 0 
10 7 2 0 0 0 
