link load
1-2 0.999796
2-1 0
2-3 0.0973469
3-2 0
2-4 0
4-2 0
4-5 0
5-4 0
2-6 0.902449
6-2 0
3-7 0.0973469
7-3 0
6-8 0.902449
8-6 0
3-9 0
9-3 0
2-10 0
10-2 0
