link load
2-1 1
1-2 0.99898
11-1 1
1-11 1
11-2 1
2-11 0.99898
11-10 0.99898
10-11 1
3-2 1
2-3 1
4-3 1
3-4 1
5-4 0.999388
4-5 1
6-5 1
5-6 1
7-6 0.999388
6-7 1
8-4 1
4-8 0.999388
8-7 1
7-8 0.999796
9-3 1
3-9 1
9-8 1
8-9 0.999184
10-9 1
9-10 0.999184
