#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10
1 3116 0 0 0 0.114447 0 0.0227736 0 0.069005 0.221888 0.420679
2 1637 0 0 0 0.0201342 0 0.185588 0 0.0274495 0.170683 0.0714648
3 1073 0 0 0 0.019781 0 0.127124 0 0.0770111 0.0582329 0.052965
4 722 0 0 0 0.128576 0 0.0737593 0 0.0209684 0.00953815 0.0121642
5 639 0 0 0 0.010597 0 0.0703603 0 0.0758673 0.0459337 0.00506842
6 544 0 0 0 0.0332038 0 0.0254929 0 0.0720549 0.0178213 0.0291434
7 450 0 0 0 0.0466266 0 0.0452073 0 0.0163934 0.0251004 0.0106437
8 414 0 0 0 0.015189 0 0.0166553 0 0.0236371 0.05999 0.00532184
9 372 0 0 0 0.0169551 0 0.00441876 0 0.0754861 0.00426707 0.0243284
10 289 0 0 0 0.0240198 0 0.00611829 0 0.0522303 0.00426707 0.0124176
11 288 0 0 0 0.0113034 0 0.00849762 0 0.0144872 0.0298695 0.0187532
12 266 0 0 0 0.0314377 0 0.010877 0 0.025162 0.0188253 0.00101368
13 249 0 0 0 0.0109502 0.0190476 0 0 0.00228746 0.0188253 0.0326913
14 232 0 0 0 0 0 0.0486064 0 0.0228746 0.00527108 0.00202737
15 226 0 0 0 0.0130696 0 0.0101971 0 0.0205871 0.00301205 0.0235682
16 180 0 0 0 0.0399152 0 0.010877 0 0.00495616 0.00251004 0.00304105
17 187 0 0 0 0.015189 0 0.00883753 0 0.0102936 0.00401606 0.0190066
18 162 0 0 0 0.0109502 0 0.0146159 0 0.00648113 0.00200803 0.0159655
19 167 0 0 0 0.00247262 0 0.00339905 0 0.0301182 0.0155622 0.00228079
20 154 0 0 0 0.0268456 0 0.00849762 0 0.00343119 0.00401606 0.00709579
21 117 0 0 0 0 0.0047619 0.00951734 0 0 0.0130522 0.00886974
22 152 0 0 0 0.0116567 0 0.00747791 0 0.00114373 0.0178213 0.00582869
23 136 0.00714286 0 0 0.0187213 0 0.0193746 0 0 0.00502008 0.00101368
24 130 0 0 0 0.0176616 0 0.00883753 0 0.00762486 0.00175703 0.00684237
25 123 0 0 0 0.00176616 0 0.00407886 0 0.00152497 0.00778112 0.0179929
26 107 0 0 0 0 0 0.00101971 0 0.015631 0.00351406 0.0124176
27 133 0 0 0.0107143 0.0300247 0 0.00883753 0 0 0.00351406 0.000506842
28 126 0 0 0 0.00353232 0.00952381 0 0 0.0133435 0.00175703 0.0177395
29 109 0 0 0 0.0176616 0.0047619 0 0 0.00495616 0.00978916 0.00126711
30 101 0 0 0.00178571 0.0201342 0 0.007138 0 0.00228746 0 0.00405474
31 97 0 0 0 0.0116567 0 0.00339905 0 0.0133435 0.00276104 0.00202737
32 99 0 0 0 0.0010597 0 0.00373895 0 0 0.0140562 0.00734921
33 104 0 0 0 0.00953727 0 0 0 0.0053374 0.0117972 0.00405474
34 84 0 0 0 0.0098905 0 0.000339905 0 0.00381243 0 0.011404
35 87 0 0 0.0607143 0.00847757 0 0.00373895 0 0.00114373 0 0.00380132
36 101 0.00357143 0 0 0.00423878 0 0.00203943 0 0.014106 0.0112952 0
37 92 0 0 0 0.00953727 0.00238095 0 0 0.00838734 0.00878514 0.00177395
38 88 0 0 0 0.00918403 0 0.00849762 0 0 0.00552209 0.00380132
39 79 0 0.0178571 0 0.00388555 0 0.0186948 0 0 0.00150602 0.000506842
40 78 0 0 0 0.0176616 0 0.00271924 0 0.00419367 0.00150602 0.000760264
41 71 0 0 0 0.00317909 0 0.00441876 0 0.011056 0.00175703 0.00329448
42 77 0 0 0 0.00529848 0 0.00985724 0 0.0102936 0.00150602 0
43 72 0 0.05 0 0.00282586 0 0.00135962 0 0.0114373 0.00401606 0
44 69 0.075 0 0 0.000706464 0 0.00543848 0 0.00495616 0.00426707 0
45 72 0 0.00357143 0 0 0.0285714 0 0 0.00762486 0.0062751 0.0035479
46 63 0 0 0 0.00529848 0 0.00781781 0 0.00419367 0.00125502 0.00228079
47 58 0 0 0 0 0 0 0 0.0026687 0.00677711 0.00608211
48 61 0 0 0 0 0 0 0 0.000762486 0.00527108 0
49 65 0 0 0 0 0 0.00645819 0 0.012581 0 0.00329448
50 58 0 0 0 0.000706464 0 0.00611829 0 0.00228746 0.00451807 0.0035479
51 55 0 0 0 0.00565171 0 0.00305914 0 0.00762486 0.00125502 0.00126711
52 57 0 0 0 0.0088308 0 0.00135962 0 0.00457491 0.00125502 0.00278763
53 64 0 0 0 0 0 0.00781781 0 0.00762486 0 0.00532184
54 51 0 0 0.00178571 0.00953727 0 0.00407886 0 0.00419367 0 0
55 65 0 0 0 0.0010597 0 0.00577838 0 0.0026687 0.00150602 0.00810948
56 65 0 0 0 0.00565171 0 0.00271924 0 0 0.00527108 0.00177395
57 50 0 0 0 0.000353232 0 0.00543848 0 0.00304994 0.0062751 0
58 59 0 0 0 0.00141293 0.0047619 0 0 0.00228746 0.00878514 0.00304105
