link load
1-2 0.683878
2-1 1
2-3 0.993724
3-2 1
2-4 0.92449
4-2 1
4-5 1
5-4 0.734082
2-6 1
6-2 0.961633
3-7 1
7-3 0.703214
6-8 1
8-6 0.665918
3-9 1
9-3 0.79449
2-10 0
10-2 0.15699
