link load
1-2 1
2-1 -1.321145988594862e-16
2-3 1
3-2 0.137551
2-4 1
4-2 0.372857
4-5 1
5-4 0.372857
2-6 1
6-2 0.796531
3-7 1
7-3 0.456939
6-8 1
8-6 0.24
3-9 1
9-3 0.30102
2-10 0
10-2 0.304286
