link load
2-1 1
1-2 0.981429
11-1 1
1-11 0.607143
11-2 0.969388
2-11 1
11-10 0.637755
10-11 0
3-2 1
2-3 0.950816
4-3 1
3-4 0.981429
5-4 0.00265306
4-5 1
6-5 1
5-6 0.999388
7-6 1
6-7 0
8-4 0.232245
4-8 0
8-7 1
7-8 0.00408163
9-3 1
3-9 0.969388
9-8 0
8-9 0.0306122
10-9 0
9-10 0.811224
