#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
1 747 0 0 0 0 0 0 0 0 0 0 0
2 419 0 0 0 0 0 0 0 0 0 0 0
3 266 0 0 0 0 0 0 0 0 0 0 0
4 199 0 0 0 0 0 0 0 0 0 0 0
5 151 0 0 0 0 0 0 0 0 0 0 0
6 136 0 0 0 0 0 0 0 0 0 0 0
7 127 0 0 0 0 0 0 0 0 0 0 0
8 122 0 0 0 0 0 0 0 0 0 0 0
9 91 0 0 0 0 0 0 0 0 0 0 0
10 69 0 0 0 0 0 0 0 0 0 0 0
11 59 0 0 0 0 0 0 0 0 0 0 0
12 76 0 0 0 0 0 0 0 0 0 0 0
13 64 0 0 0 0 0 0 0 0 0 0 0
14 56 0 0 0 0 0 0 0 0 0 0 0
15 51 0 0 0 0 0 0 0 0 0 0 0
16 45 0 0 0 0 0 0 0 0 0 0 0
17 41 0 0 0 0 0 0 0 0 0 0 0
18 50 0 0 0 0 0 0 0 0 0 0 0
19 42 0 0 0 0 0 0 0 0 0 0 0
20 40 0 0 0 0 0 0 0 0 0 0 0
21 38 0 0 0 0 0 0 0 0 0 0 0
22 35 0 0 0 0 0 0 0 0 0 0 0
23 39 0 0 0 0 0 0 0 0 0 0 0
24 35 0 0 0 0 0 0 0 0 0 0 0
25 28 0 0 0 0 0 0 0 0 0 0 0
26 24 0 0 0 0 0 0 0 0 0 0 0
27 36 0 0 0 0 0 0 0 0 0 0 0
28 21 0 0 0 0 0 0 0 0 0 0 0
29 32 0 0 0 0 0 0 0 0 0 0 0
30 23 0 0 0 0 0 0 0 0 0 0 0
31 25 0 0 0 0 0 0 0 0 0 0 0
32 19 0 0 0 0 0 0 0 0 0 0 0
33 24 0 0 0 0 0 0 0 0 0 0 0
34 26 0 0 0 0 0 0 0 0 0 0 0
35 17 0 0 0 0 0 0 0 0 0 0 0
36 21 0 0 0 0 0 0 0 0 0 0 0
37 17 0 0 0 0 0 0 0 0 0 0 0
38 22 0 0 0 0 0 0 0 0 0 0 0
39 14 0 0 0 0 0 0 0 0 0 0 0
40 26 0 0 0 0 0 0 0 0 0 0 0
41 28 0 0 0 0 0 0 0 0 0 0 0
42 16 0 0 0 0 0 0 0 0 0 0 0
43 18 0 0 0 0 0 0 0 0 0 0 0
44 14 0 0 0 0 0 0 0 0 0 0 0
45 21 0 0 0 0 0 0 0 0 0 0 0
46 15 0 0 0 0 0 0 0 0 0 0 0
47 15 0 0 0 0 0 0 0 0 0 0 0
48 13 0 0 0 0 0 0 0 0 0 0 0
49 15 0 0 0 0 0 0 0 0 0 0 0
50 12 0 0 0 0 0 0 0 0 0 0 0
51 14 0 0 0 0 0 0 0 0 0 0 0
52 21 0 0 0 0 0 0 0 0 0 0 0
53 11 0 0 0 0 0 0 0 0 0 0 0
54 11 0 0 0 0 0 0 0 0 0 0 0
55 13 0 0 0 0 0 0 0 0 0 0 0
56 16 0 0 0 0 0 0 0 0 0 0 0
57 11 0 0 0 0 0 0 0 0 0 0 0
58 9 0 0 0 0 0 0 0 0 0 0 0
59 12 0 0 0 0 0 0 0 0 0 0 0
60 10 0 0 0 0 0 0 0 0 0 0 0
61 15 0 0 0 0 0 0 0 0 0 0 0
62 14 0 0 0 0 0 0 0 0 0 0 0
63 15 0 0 0 0 0 0 0 0 0 0 0
64 10 0 0 0 0 0 0 0 0 0 0 0
65 15 0 0 0 0 0 0 0 0 0 0 0
66 10 0 0 0 0 0 0 0 0 0 0 0
67 9 0 0 0 0 0 0 0 0 0 0 0
68 11 0 0 0 0 0 0 0 0 0 0 0
69 10 0 0 0 0 0 0 0 0 0 0 0
70 20 0 0 0 0 0 0 0 0 0 0 0
71 19 0 0 0 0 0 0 0 0 0 0 0
72 12 0 0 0 0 0 0 0 0 0 0 0
73 11 0 0 0 0 0 0 0 0 0 0 0
74 14 0 0 0 0 0 0 0 0 0 0 0
75 5 0 0 0 0 0 0 0 0 0 0 0
76 13 0 0 0 0 0 0 0 0 0 0 0
77 6 0 0 0 0 0 0 0 0 0 0 0
78 11 0 0 0 0 0 0 0 0 0 0 0
79 12 0 0 0 0 0 0 0 0 0 0 0
80 8 0 0 0 0 0 0 0 0 0 0 0
81 12 0 0 0 0 0 0 0 0 0 0 0
82 8 0 0 0 0 0 0 0 0 0 0 0
83 7 0 0 0 0 0 0 0 0 0 0 0
84 11 0 0 0 0 0 0 0 0 0 0 0
85 11 0 0 0 0 0 0 0 0 0 0 0
86 10 0 0 0 0 0 0 0 0 0 0 0
87 8 0 0 0 0 0 0 0 0 0 0 0
88 9 0 0 0 0 0 0 0 0 0 0 0
89 6 0 0 0 0 0 0 0 0 0 0 0
90 5 0 0 0 0 0 0 0 0 0 0 0
91 7 0 0 0 0 0 0 0 0 0 0 0
92 10 0 0 0 0 0 0 0 0 0 0 0
93 9 0 0 0 0 0 0 0 0 0 0 0
94 4 0 0 0 0 0 0 0 0 0 0 0
95 6 0 0 0 0 0 0 0 0 0 0 0
96 5 0 0 0 0 0 0 0 0 0 0 0
97 17 0 0 0 0 0 0 0 0 0 0 0
98 8 0 0 0 0 0 0 0 0 0 0 0
99 10 0 0 0 0 0 0 0 0 0 0 0
100 11 0 0 0 0 0 0 0 0 0 0 0
