#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8
1 1539 0 0 0 0 0 0 0 0
2 729 0 0 0 0 0 0 0 0
3 527 0 0 0 1 0 0 0 0
4 402 0 0 0 0 0 0 0 0
5 291 0 0 0 0 0 0 0 0
6 261 0 0 0 0 0 0 0 0
7 225 0 0 0 0 0 0 0 0
8 182 0 0 0 0 0 0 0 0
9 163 0 0 0 0 0 0 0 0
10 146 0 0 0 0 0 0 0 0
11 149 0 0 0 0 0 0 0 0
12 130 0 0 0 0 0 0 0 0
13 115 0 0 0 0 0 0 0 0
14 102 0 0 0 0 0 0 0 0
15 101 0 0 0 0 0 0 0 0
16 102 0 0 0 0 0 0 0 0
17 91 0 0 0 0 0 0 0 0
18 90 0 0 0 0 0 0 0 0
19 102 0 0 0 0 0 0 0 0
20 65 0 0 0 0 0 0 0 0
21 76 0 0 0 0 0 0 0 0
22 68 0 0 0 0 0 0 0 0
23 67 0 0 0 0 0 0 0 0
24 68 0 0 0 0 0 0 0 0
25 62 0 0 0 0 0 0 0 0
26 54 0 0 0 0 0 0 0 0
27 66 0 0 0 0 0 0 0 0
28 54 0 0 0 0 0 0 0 0
29 57 0 0 0 0 0 0 0 0
30 55 0 0 0 0 0 0 0 0
31 58 0 0 0 0 0 0 0 0
32 61 0 0 0 0 0 0 0 0
33 33 0 0 0 0 0 0 0 0
34 44 0 0 0 0 0 0 0 0
35 34 0 0 0 0 0 0 0 0
36 44 0 0 0 0 0 0 0 0
37 34 0 0 0 0 0 0 0 0
38 35 0 0 0 0 0 0 0 0
39 38 0 0 0 0 0 0 0 0
40 38 0 0 0 0 0 0 0 0
41 42 0 0 0 0 0 0 0 0
42 32 0 0 0 0 0 0 0 0
43 30 0 0 0 0 0 0 0 0
44 37 0 0 0 0 0 0 0 0
45 35 0 0 0 0 0 0 0 0
46 34 0 0 0 0 0 0 0 0
47 21 0 0 0 0 0 0 0 0
48 40 0 0 0 0 0 0 0 0
49 38 0 0 0 0 0 0 0 0
50 37 0 0 0 0 0 0 0 0
51 23 0 0 0 0 0 0 0 0
52 24 0 0 0 0 0 0 0 0
53 26 0 0 0 0 0 0 0 0
54 38 0 0 0 0 0 0 0 0
55 30 0 0 0 0 0 0 0 0
56 30 0 0 0 0 0 0 0 0
57 20 0 0 0 0 0 0 0 0
58 21 0 0 0 0 0 0 0 0
59 38 0 0 0 0 0 0 0 0
60 29 0 0 0 0 0 0 0 0
61 33 0 0 0 0 0 0 0 0
62 23 0 0 0 0 0 0 0 0
63 29 0 0 0 0 0 0 0 0
64 23 0 0 0 0 0 0 0 0
65 31 0 0 0 0 0 0 0 0
66 21 0 0 0 0 0 0 0 0
67 24 0 0 0 0 0 0 0 0
68 17 0 0 0 0 0 0 0 0
69 18 0 0 0 0 0 0 0 0
70 25 0 0 0 0 0 0 0 0
71 18 0 0 0 0 0 0 0 0
72 22 0 0 0 0 0 0 0 0
73 12 0 0 0 0 0 0 0 0
74 19 0 0 0 0 0 0 0 0
75 25 0 0 0 0 0 0 0 0
76 16 0 0 0 0 0 0 0 0
77 25 0 0 0 0 0 0 0 0
78 22 0 0 0 0 0 0 0 0
79 25 0 0 0 0 0 0 0 0
80 20 0 0 0 0 0 0 0 0
81 25 0 0 0 0 0 0 0 0
82 16 0 0 0 0 0 0 0 0
83 18 0 0 0 0 0 0 0 0
84 15 0 0 0 0 0 0 0 0
85 16 0 0 0 0 0 0 0 0
86 15 0 0 0 0 0 0 0 0
87 16 0 0 0 0 0 0 0 0
88 22 0 0 0 0 0 0 0 0
89 15 0 0 0 0 0 0 0 0
90 12 0 0 0 0 0 0 0 0
91 19 0 0 0 0 0 0 0 0
92 18 0 0 0 0 0 0 0 0
93 21 0 0 0 0 0 0 0 0
94 12 0 0 0 0 0 0 0 0
95 22 0 0 0 0 0 0 0 0
96 18 0 0 0 0 0 0 0 0
97 11 0 0 0 0 0 0 0 0
98 16 0 0 0 0 0 0 0 0
99 20 0 0 0 0 0 0 0 0
100 12 0 0 0 0 0 0 0 0
101 10 0 0 0 0 0 0 0 0
102 13 0 0 0 0 0 0 0 0
103 14 0 0 0 0 0 0 0 0
104 11 0 0 0 0 0 0 0 0
105 11 0 0 0 0 0 0 0 0
106 14 0 0 0 0 0 0 0 0
107 12 0 0 0 0 0 0 0 0
108 12 0 0 0 0 0 0 0 0
109 14 0 0 0 0 0 0 0 0
110 25 0 0 0 0 0 0 0 0
111 17 0 0 0 0 0 0 0 0
112 16 0 0 0 0 0 0 0 0
113 10 0 0 0 0 0 0 0 0
114 17 0 0 0 0 0 0 0 0
115 7 0 0 0 0 0 0 0 0
116 13 0 0 0 0 0 0 0 0
117 14 0 0 0 0 0 0 0 0
118 11 0 0 0 0 0 0 0 0
119 18 0 0 0 0 0 0 0 0
120 10 0 0 0 0 0 0 0 0
121 7 0 0 0 0 0 0 0 0
122 14 0 0 0 0 0 0 0 0
123 18 0 0 0 0 0 0 0 0
124 5 0 0 0 0 0 0 0 0
125 12 0 0 0 0 0 0 0 0
126 14 0 0 0 0 0 0 0 0
127 12 0 0 0 0 0 0 0 0
128 14 0 0 0 0 0 0 0 0
129 19 0 0 0 0 0 0 0 0
130 11 0 0 0 0 0 0 0 0
131 8 0 0 0 0 0 0 0 0
132 11 0 0 0 0 0 0 0 0
133 10 0 0 0 0 0 0 0 0
134 11 0 0 0 0 0 0 0 0
135 10 0 0 0 0 0 0 0 0
136 8 0 0 0 0 0 0 0 0
137 12 0 0 0 0 0 0 0 0
138 11 0 0 0 0 0 0 0 0
139 11 0 0 0 0 0 0 0 0
140 6 0 0 0 0 0 0 0 0
141 10 0 0 0 0 0 0 0 0
142 5 0 0 0 0 0 0 0 0
143 12 0 0 0 0 0 0 0 0
144 12 0 0 0 0 0 0 0 0
145 7 0 0 0 0 0 0 0 0
146 4 0 0 0 0 0 0 0 0
147 11 0 0 0 0 0 0 0 0
148 14 0 0 0 0 0 0 0 0
149 9 0 0 0 0 0 0 0 0
150 12 0 0 0 0 0 0 0 0
151 17 0 0 0 0 0 0 0 0
152 14 0 0 0 0 0 0 0 0
153 12 0 0 0 0 0 0 0 0
154 9 0 0 0 0 0 0 0 0
155 7 0 0 0 0 0 0 0 0
156 7 0 0 0 0 0 0 0 0
157 8 0 0 0 0 0 0 0 0
158 12 0 0 0 0 0 0 0 0
159 15 0 0 0 0 0 0 0 0
160 11 0 0 0 0 0 0 0 0
161 14 0 0 0 0 0 0 0 0
162 7 0 0 0 0 0 0 0 0
163 4 0 0 0 0 0 0 0 0
164 11 0 0 0 0 0 0 0 0
165 12 0 0 0 0 0 0 0 0
166 8 0 0 0 0 0 0 0 0
167 6 0 0 0 0 0 0 0 0
168 11 0 0 0 0 0 0 0 0
169 10 0 0 0 0 0 0 0 0
170 10 0 0 0 0 0 0 0 0
171 3 0 0 0 0 0 0 0 0
172 10 0 0 0 0 0 0 0 0
173 11 0 0 0 0 0 0 0 0
174 7 0 0 0 0 0 0 0 0
175 5 0 0 0 0 0 0 0 0
176 15 0 0 0 0 0 0 0 0
177 7 0 0 0 0 0 0 0 0
178 3 0 0 0 0 0 0 0 0
179 16 0 0 0 0 0 0 0 0
180 0 0 0 0 0 0 0 0 0
181 8 0 0 0 0 0 0 0 0
182 16 0 0 0 0 0 0 0 0
183 4 0 0 0 0 0 0 0 0
184 8 0 0 0 0 0 0 0 0
185 8 0 0 0 0 0 0 0 0
186 8 0 0 0 0 0 0 0 0
187 6 0 0 0 0 0 0 0 0
188 9 0 0 0 0 0 0 0 0
189 11 0 0 0 0 0 0 0 0
190 10 0 0 0 0 0 0 0 0
191 10 0 0 0 0 0 0 0 0
192 5 0 0 0 0 0 0 0 0
193 4 0 0 0 0 0 0 0 0
194 8 0 0 0 0 0 0 0 0
195 6 0 0 0 0 0 0 0 0
196 5 0 0 0 0 0 0 0 0
197 11 0 0 0 0 0 0 0 0
198 6 0 0 0 0 0 0 0 0
199 9 0 0 0 0 0 0 0 0
200 9 0 0 0 0 0 0 0 0
201 6 0 0 0 0 0 0 0 0
202 6 0 0 0 0 0 0 0 0
203 12 0 0 0 0 0 0 0 0
204 11 0 0 0 0 0 0 0 0
205 3 0 0 0 0 0 0 0 0
206 6 0 0 0 0 0 0 0 0
207 9 0 0 0 0 0 0 0 0
208 3 0 0 0 0 0 0 0 0
209 10 0 0 0 0 0 0 0 0
210 12 0 0 0 0 0 0 0 0
211 1 0 0 0 0 0 0 0 0
212 5 0 0 0 0 0 0 0 0
213 7 0 0 0 0 0 0 0 0
214 3 0 0 0 0 0 0 0 0
215 9 0 0 0 0 0 0 0 0
216 7 0 0 0 0 0 0 0 0
217 10 0 0 0 0 0 0 0 0
218 9 0 0 0 0 0 0 0 0
219 3 0 0 0 0 0 0 0 0
220 6 0 0 0 0 0 0 0 0
221 8 0 0 0 0 0 0 0 0
222 3 0 0 0 0 0 0 0 0
223 12 0 0 0 0 0 0 0 0
224 4 0 0 0 0 0 0 0 0
225 6 0 0 0 0 0 0 0 0
226 7 0 0 0 0 0 0 0 0
227 9 0 0 0 0 0 0 0 0
228 7 0 0 0 0 0 0 0 0
229 13 0 0 0 0 0 0 0 0
230 8 0 0 0 0 0 0 0 0
231 6 0 0 0 0 0 0 0 0
232 11 0 0 0 0 0 0 0 0
233 11 0 0 0 0 0 0 0 0
234 5 0 0 0 0 0 0 0 0
235 8 0 0 0 0 0 0 0 0
236 6 0 0 0 0 0 0 0 0
237 8 0 0 0 0 0 0 0 0
238 5 0 0 0 0 0 0 0 0
239 7 0 0 0 0 0 0 0 0
240 4 0 0 0 0 0 0 0 0
241 6 0 0 0 0 0 0 0 0
242 4 0 0 0 0 0 0 0 0
243 3 0 0 0 0 0 0 0 0
244 5 0 0 0 0 0 0 0 0
245 1 0 0 0 0 0 0 0 0
246 9 0 0 0 0 0 0 0 0
247 11 0 0 0 0 0 0 0 0
248 7 0 0 0 0 0 0 0 0
249 4 0 0 0 0 0 0 0 0
250 12 0 0 0 0 0 0 0 0
251 8 0 0 0 0 0 0 0 0
252 2 0 0 0 0 0 0 0 0
253 6 0 0 0 0 0 0 0 0
254 3 0 0 0 0 0 0 0 0
255 4 0 0 0 0 0 0 0 0
256 6 0 0 0 0 0 0 0 0
257 7 0 0 0 0 0 0 0 0
258 7 0 0 0 0 0 0 0 0
259 2 0 0 0 0 0 0 0 0
260 7 0 0 0 0 0 0 0 0
261 4 0 0 0 0 0 0 0 0
262 5 0 0 0 0 0 0 0 0
263 6 0 0 0 0 0 0 0 0
264 3 0 0 0 0 0 0 0 0
265 3 0 0 0 0 0 0 0 0
266 4 0 0 0 0 0 0 0 0
267 7 0 0 0 0 0 0 0 0
268 7 0 0 0 0 0 0 0 0
269 10 0 0 0 0 0 0 0 0
270 6 0 0 0 0 0 0 0 0
271 3 0 0 0 0 0 0 0 0
272 5 0 0 0 0 0 0 0 0
273 3 0 0 0 0 0 0 0 0
274 7 0 0 0 0 0 0 0 0
275 5 0 0 0 0 0 0 0 0
276 2 0 0 0 0 0 0 0 0
277 5 0 0 0 0 0 0 0 0
278 1 0 0 0 0 0 0 0 0
279 7 0 0 0 0 0 0 0 0
280 6 0 0 0 0 0 0 0 0
281 7 0 0 0 0 0 0 0 0
282 3 0 0 0 0 0 0 0 0
283 5 0 0 0 0 0 0 0 0
284 7 0 0 0 0 0 0 0 0
285 6 0 0 0 0 0 0 0 0
286 6 0 0 0 0 0 0 0 0
287 2 0 0 0 0 0 0 0 0
288 5 0 0 0 0 0 0 0 0
289 7 0 0 0 0 0 0 0 0
290 7 0 0 0 0 0 0 0 0
291 2 0 0 0 0 0 0 0 0
292 4 0 0 0 0 0 0 0 0
293 4 0 0 0 0 0 0 0 0
294 7 0 0 0 0 0 0 0 0
295 4 0 0 0 0 0 0 0 0
296 5 0 0 0 0 0 0 0 0
297 5 0 0 0 0 0 0 0 0
298 4 0 0 0 0 0 0 0 0
299 4 0 0 0 0 0 0 0 0
300 4 0 0 0 0 0 0 0 0
301 7 0 0 0 0 0 0 0 0
302 4 0 0 0 0 0 0 0 0
303 6 0 0 0 0 0 0 0 0
304 6 0 0 0 0 0 0 0 0
305 3 0 0 0 0 0 0 0 0
306 2 0 0 0 0 0 0 0 0
307 1 0 0 0 0 0 0 0 0
308 8 0 0 0 0 0 0 0 0
309 1 0 0 0 0 0 0 0 0
310 4 0 0 0 0 0 0 0 0
311 3 0 0 0 0 0 0 0 0
312 7 0 0 0 0 0 0 0 0
313 1 0 0 0 0 0 0 0 0
314 2 0 0 0 0 0 0 0 0
315 3 0 0 0 0 0 0 0 0
316 3 0 0 0 0 0 0 0 0
317 7 0 0 0 0 0 0 0 0
318 3 0 0 0 0 0 0 0 0
319 3 0 0 0 0 0 0 0 0
320 3 0 0 0 0 0 0 0 0
321 3 0 0 0 0 0 0 0 0
322 4 0 0 0 0 0 0 0 0
323 3 0 0 0 0 0 0 0 0
324 7 0 0 0 0 0 0 0 0
325 4 0 0 0 0 0 0 0 0
326 6 0 0 0 0 0 0 0 0
327 6 0 0 0 0 0 0 0 0
328 6 0 0 0 0 0 0 0 0
329 6 0 0 0 0 0 0 0 0
330 4 0 0 0 0 0 0 0 0
331 4 0 0 0 0 0 0 0 0
332 2 0 0 0 0 0 0 0 0
333 0 0 0 0 0 0 0 0 0
334 0 0 0 0 0 0 0 0 0
335 9 0 0 0 0 0 0 0 0
336 3 0 0 0 0 0 0 0 0
337 4 0 0 0 0 0 0 0 0
338 1 0 0 0 0 0 0 0 0
339 2 0 0 0 0 0 0 0 0
340 4 0 0 0 0 0 0 0 0
341 6 0 0 0 0 0 0 0 0
342 2 0 0 0 0 0 0 0 0
343 4 0 0 0 0 0 0 0 0
