#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10
1 5615 0 0 0.233333 0 0.0777778 0 0.0333333 0 0.0885298 0.0363498
2 2777 0 0 0 0.0166645 0 0.000333815 0.2 0 0.109216 0.0558314
3 1883 0 0 0 0 0 0.0946459 0 0.0223444 0 0.0348208
4 1362 0 0 0 0.0538911 0 0 0 0 0 0.00863405
5 1121 0 0 0 0.0101947 0 0.0522929 0 0 0 0.00332079
6 946 0 0 0 0.0319566 0 0 0 0.0602277 0 0.0190708
7 767 0 0 0 0.0441119 0 0.032557 0 0 0 0
8 741 0 0 0 0.0150961 0 0.0126771 0 0 0 0.00360543
9 575 0 0 0 0.014704 0 0 0 0.0560044 0 0.0141371
10 548 0 0 0 0 0 0 0 0.0475578 0 0.00891869
