#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10
1 5615 0 0 0 0.0534309 0.333333 0.00301027 0 0.0278492 0 0.10105
2 2777 0 0 0 0 0 0.0458872 0 0.0105398 0.00237511 0
3 1883 0 0 0 0.00896615 0 0 0 0.0199925 0.0187833 0
4 1362 0 0 0 0.0377053 0 0.0274958 0 0.00891174 0.00328476 0
5 1121 0 0 0 0 0 0 0 0.0179949 0.0148508 0
6 946 0 0 0 0 0 0.0087395 0 0 0.00573676 0
7 767 0 0 0 0 0 0 0 0.00634105 0.00786491 0.00318796
8 741 0 0 0 0 0 0 0 0.00951157 0.0197548 0
9 575 0 0 0 0 0 0 0 0 0.00212815 0
10 548 0 0 0 0 0 0.00235294 0 0 0.00148045 0
