#rank q_avg rank q_avg
357 NaN 0 NaN
358 2 0 0
359 NaN 0 NaN
360 NaN 0 NaN
361 NaN 0 NaN
362 NaN 0 NaN
363 NaN 0 NaN
364 1 0 0
365 NaN 0 NaN
366 2 0 0
367 2 0 0
368 NaN 0 NaN
369 2 0 0
370 NaN 0 NaN
371 1 0 0
372 1 0 0
373 NaN 0 NaN
374 NaN 0 NaN
375 NaN 0 NaN
376 NaN 0 NaN
377 NaN 0 NaN
378 2 0 0
379 2 0 0
380 NaN 0 NaN
381 NaN 0 NaN
382 NaN 0 NaN
383 2 0 0
384 1 0 0
385 NaN 0 NaN
386 1 0 0
387 NaN 0 NaN
388 2 0 0
389 2 0 0
390 NaN 0 NaN
391 NaN 0 NaN
392 NaN 0 NaN
393 NaN 0 NaN
394 2 0 0
395 NaN 0 NaN
396 NaN 0 NaN
397 NaN 0 NaN
398 NaN 0 NaN
399 NaN 0 NaN
400 2 0 0
401 NaN 0 NaN
402 NaN 0 NaN
403 NaN 0 NaN
404 2 0 0
405 2 0 0
406 NaN 0 NaN
407 1 0 0
408 2 0 0
409 NaN 0 NaN
410 NaN 0 NaN
411 NaN 0 NaN
412 NaN 0 NaN
413 1 0 0
414 NaN 0 NaN
415 1 0 0
416 2 0 0
417 1 0 0
418 NaN 0 NaN
419 NaN 0 NaN
420 NaN 0 NaN
421 2 0 0
422 NaN 0 NaN
423 2 0 0
424 NaN 0 NaN
425 NaN 0 NaN
426 1 0 0
427 2 0 0
428 NaN 0 NaN
429 1 0 0
430 2 0 0
431 NaN 0 NaN
432 2 0 0
433 NaN 0 NaN
434 NaN 0 NaN
435 2 0 0
436 NaN 0 NaN
437 NaN 0 NaN
438 NaN 0 NaN
439 NaN 0 NaN
440 NaN 0 NaN
441 NaN 0 NaN
442 2 0 0
443 1 0 0
444 2 0 0
445 2 0 0
446 NaN 0 NaN
447 NaN 0 NaN
448 2 0 0
449 NaN 0 NaN
450 NaN 0 NaN
451 1 0 0
452 1 0 0
453 NaN 0 NaN
454 NaN 0 NaN
455 NaN 0 NaN
456 2 0 0
457 2 0 0
458 NaN 0 NaN
459 1 0 0
460 NaN 0 NaN
461 1 0 0
462 1 0 0
463 NaN 0 NaN
464 2 0 0
465 NaN 0 NaN
466 2 0 0
467 1 0 0
468 NaN 0 NaN
469 2 0 0
470 NaN 0 NaN
471 2 0 0
472 1 0 0
473 2 0 0
474 NaN 0 NaN
475 NaN 0 NaN
476 NaN 0 NaN
477 NaN 0 NaN
478 1 0 0
479 NaN 0 NaN
480 NaN 0 NaN
481 1 0 0
482 NaN 0 NaN
483 NaN 0 NaN
484 2 0 0
485 NaN 0 NaN
486 NaN 0 NaN
487 NaN 0 NaN
488 NaN 0 NaN
489 NaN 0 NaN
490 NaN 0 NaN
491 NaN 0 NaN
492 1 0 0
493 2 0 0
494 1 0 0
495 1 0 0
496 NaN 0 NaN
497 2 0 0
498 2 0 0
499 2 0 0
500 2 0 0
501 NaN 0 NaN
502 1 0 0
503 NaN 0 NaN
504 NaN 0 NaN
505 NaN 0 NaN
506 2 0 0
507 2 0 0
508 2 0 0
509 NaN 0 NaN
510 1 0 0
511 NaN 0 NaN
512 1 0 0
513 2 0 0
514 2 0 0
515 NaN 0 NaN
516 NaN 0 NaN
517 NaN 0 NaN
518 NaN 0 NaN
519 NaN 0 NaN
520 1 0 0
521 1 0 0
522 1 0 0
523 2 0 0
524 2 0 0
525 NaN 0 NaN
526 NaN 0 NaN
527 2 0 0
528 NaN 0 NaN
529 NaN 0 NaN
530 NaN 0 NaN
531 NaN 0 NaN
532 NaN 0 NaN
533 NaN 0 NaN
534 NaN 0 NaN
535 2 0 0
536 NaN 0 NaN
537 NaN 0 NaN
538 NaN 0 NaN
539 NaN 0 NaN
540 1 0 0
541 NaN 0 NaN
542 NaN 0 NaN
543 NaN 0 NaN
544 1 0 0
545 2 0 0
546 NaN 0 NaN
547 1 0 0
548 2 0 0
549 NaN 0 NaN
550 NaN 0 NaN
551 NaN 0 NaN
552 NaN 0 NaN
553 NaN 0 NaN
554 NaN 0 NaN
555 2 0 0
556 NaN 0 NaN
557 NaN 0 NaN
558 NaN 0 NaN
559 1 0 0
560 NaN 0 NaN
561 NaN 0 NaN
562 NaN 0 NaN
563 1 0 0
564 NaN 0 NaN
565 NaN 0 NaN
566 NaN 0 NaN
567 NaN 0 NaN
568 1 0 0
569 NaN 0 NaN
570 NaN 0 NaN
571 2 0 0
572 NaN 0 NaN
573 2 0 0
574 2 0 0
575 NaN 0 NaN
576 NaN 0 NaN
577 NaN 0 NaN
578 1 0 0
579 NaN 0 NaN
580 NaN 0 NaN
581 NaN 0 NaN
582 1 0 0
583 NaN 0 NaN
584 NaN 0 NaN
585 NaN 0 NaN
586 NaN 0 NaN
587 NaN 0 NaN
588 NaN 0 NaN
589 NaN 0 NaN
590 NaN 0 NaN
591 NaN 0 NaN
592 NaN 0 NaN
