#load utility_mean utility_mean
0.25 1.464142 0.01265136293556106
0.5 1.359429 0.009008119367957874
1 1.283891 0.0125633986813477
1.5 1.140595 0.0165996477786729
2 1.0431781 0.0145473815611714
4 0.9296338000000001 0.003311368704203007
8 0.8578035999999999 0.002723236664749914
