#rank q_avg rank q_avg
344 NaN 0 NaN
345 5 0 0
346 NaN 0 NaN
347 5 0 0
348 NaN 0 NaN
349 5 0 0
350 NaN 0 NaN
351 NaN 0 NaN
352 5 0 0
353 5 0 0
354 5 0 0
355 5 0 0
356 NaN 0 NaN
357 NaN 0 NaN
358 NaN 0 NaN
359 NaN 0 NaN
360 NaN 0 NaN
361 NaN 0 NaN
362 NaN 0 NaN
363 NaN 0 NaN
364 NaN 0 NaN
365 5 0 0
366 5 0 0
367 2 0 0
368 0 0 0
369 NaN 0 NaN
370 NaN 0 NaN
371 NaN 0 NaN
372 2 0 0
373 NaN 0 NaN
374 NaN 0 NaN
375 2 0 0
376 0 0 0
377 NaN 0 NaN
378 NaN 0 NaN
379 2 0 0
380 NaN 0 NaN
381 NaN 0 NaN
382 0 0 0
383 NaN 0 NaN
384 NaN 0 NaN
385 NaN 0 NaN
386 NaN 0 NaN
387 NaN 0 NaN
388 NaN 0 NaN
389 NaN 0 NaN
390 NaN 0 NaN
391 NaN 0 NaN
392 NaN 0 NaN
393 NaN 0 NaN
394 NaN 0 NaN
395 2 0 0
396 NaN 0 NaN
397 2 0 0
398 2 0 0
399 NaN 0 NaN
400 NaN 0 NaN
401 NaN 0 NaN
402 5 0 0
403 NaN 0 NaN
404 NaN 0 NaN
405 NaN 0 NaN
406 NaN 0 NaN
407 NaN 0 NaN
408 5 0 0
409 NaN 0 NaN
410 NaN 0 NaN
411 NaN 0 NaN
412 2 0 0
413 NaN 0 NaN
414 NaN 0 NaN
415 2 0 0
416 3 0 0
417 2 0 0
418 NaN 0 NaN
419 NaN 0 NaN
420 5 0 0
421 5 0 0
422 NaN 0 NaN
423 2 0 0
424 NaN 0 NaN
425 NaN 0 NaN
426 2 0 0
427 NaN 0 NaN
428 NaN 0 NaN
429 2 0 0
430 NaN 0 NaN
431 NaN 0 NaN
432 NaN 0 NaN
433 NaN 0 NaN
434 NaN 0 NaN
435 2 0 0
436 5 0 0
437 NaN 0 NaN
438 2 0 0
439 NaN 0 NaN
440 5 0 0
441 NaN 0 NaN
442 2 0 0
443 2 0 0
444 NaN 0 NaN
445 3 0 0
446 2 0 0
447 2 0 0
448 5 0 0
449 NaN 0 NaN
450 2 0 0
451 NaN 0 NaN
452 2 0 0
453 NaN 0 NaN
454 NaN 0 NaN
455 NaN 0 NaN
456 NaN 0 NaN
457 5 0 0
458 2 0 0
459 NaN 0 NaN
460 NaN 0 NaN
461 NaN 0 NaN
462 NaN 0 NaN
463 NaN 0 NaN
464 2 0 0
465 NaN 0 NaN
466 NaN 0 NaN
467 NaN 0 NaN
468 NaN 0 NaN
469 NaN 0 NaN
470 NaN 0 NaN
471 NaN 0 NaN
472 2 0 0
473 2 0 0
474 NaN 0 NaN
475 NaN 0 NaN
476 NaN 0 NaN
477 2 0 0
478 3 0 0
479 NaN 0 NaN
480 5 0 0
481 5 0 0
482 NaN 0 NaN
483 NaN 0 NaN
484 5 0 0
485 NaN 0 NaN
486 NaN 0 NaN
487 NaN 0 NaN
488 NaN 0 NaN
489 NaN 0 NaN
490 NaN 0 NaN
491 2 0 0
492 NaN 0 NaN
493 2 0 0
494 NaN 0 NaN
495 2 0 0
496 NaN 0 NaN
497 2 0 0
498 NaN 0 NaN
499 NaN 0 NaN
500 NaN 0 NaN
501 NaN 0 NaN
502 NaN 0 NaN
503 NaN 0 NaN
504 NaN 0 NaN
505 NaN 0 NaN
506 NaN 0 NaN
507 NaN 0 NaN
508 NaN 0 NaN
509 NaN 0 NaN
510 NaN 0 NaN
511 NaN 0 NaN
512 3 0 0
513 2 0 0
514 NaN 0 NaN
515 2 0 0
516 NaN 0 NaN
517 NaN 0 NaN
518 NaN 0 NaN
519 NaN 0 NaN
520 2 0 0
521 5 0 0
522 2 0 0
523 5 0 0
524 2 0 0
525 2 0 0
526 NaN 0 NaN
527 NaN 0 NaN
528 NaN 0 NaN
529 NaN 0 NaN
530 NaN 0 NaN
531 NaN 0 NaN
532 NaN 0 NaN
533 NaN 0 NaN
534 2 0 0
535 2 0 0
536 NaN 0 NaN
537 NaN 0 NaN
538 NaN 0 NaN
539 NaN 0 NaN
540 NaN 0 NaN
541 NaN 0 NaN
542 NaN 0 NaN
543 NaN 0 NaN
544 2 0 0
545 NaN 0 NaN
546 NaN 0 NaN
547 NaN 0 NaN
548 2 0 0
549 NaN 0 NaN
550 NaN 0 NaN
551 NaN 0 NaN
552 NaN 0 NaN
553 NaN 0 NaN
554 NaN 0 NaN
555 2 0 0
556 NaN 0 NaN
557 2 0 0
558 5 0 0
559 NaN 0 NaN
560 2 0 0
561 NaN 0 NaN
562 NaN 0 NaN
563 2 0 0
564 NaN 0 NaN
565 NaN 0 NaN
566 NaN 0 NaN
567 NaN 0 NaN
568 NaN 0 NaN
569 NaN 0 NaN
570 NaN 0 NaN
571 NaN 0 NaN
572 NaN 0 NaN
573 NaN 0 NaN
574 NaN 0 NaN
575 NaN 0 NaN
576 NaN 0 NaN
577 NaN 0 NaN
578 2 0 0
579 NaN 0 NaN
580 NaN 0 NaN
581 NaN 0 NaN
582 NaN 0 NaN
583 NaN 0 NaN
584 NaN 0 NaN
585 NaN 0 NaN
586 NaN 0 NaN
587 NaN 0 NaN
588 NaN 0 NaN
589 NaN 0 NaN
590 NaN 0 NaN
591 NaN 0 NaN
592 NaN 0 NaN
593 NaN 0 NaN
594 NaN 0 NaN
595 NaN 0 NaN
596 NaN 0 NaN
597 NaN 0 NaN
598 NaN 0 NaN
599 NaN 0 NaN
600 NaN 0 NaN
601 NaN 0 NaN
602 NaN 0 NaN
603 NaN 0 NaN
604 NaN 0 NaN
605 2 0 0
606 NaN 0 NaN
607 NaN 0 NaN
608 2 0 0
609 2 0 0
610 NaN 0 NaN
611 NaN 0 NaN
612 NaN 0 NaN
613 NaN 0 NaN
614 NaN 0 NaN
615 NaN 0 NaN
616 NaN 0 NaN
617 NaN 0 NaN
618 NaN 0 NaN
619 2 0 0
620 2 0 0
621 NaN 0 NaN
622 NaN 0 NaN
623 NaN 0 NaN
624 2 0 0
625 2 0 0
626 NaN 0 NaN
627 NaN 0 NaN
628 NaN 0 NaN
629 NaN 0 NaN
630 2 0 0
631 NaN 0 NaN
632 NaN 0 NaN
633 NaN 0 NaN
634 NaN 0 NaN
635 2 0 0
636 NaN 0 NaN
637 NaN 0 NaN
638 NaN 0 NaN
639 NaN 0 NaN
640 NaN 0 NaN
641 NaN 0 NaN
642 2 0 0
643 NaN 0 NaN
644 NaN 0 NaN
645 2 0 0
646 NaN 0 NaN
647 2 0 0
648 NaN 0 NaN
649 NaN 0 NaN
650 2 0 0
651 2 0 0
652 2 0 0
653 NaN 0 NaN
654 NaN 0 NaN
655 NaN 0 NaN
656 NaN 0 NaN
657 NaN 0 NaN
658 NaN 0 NaN
659 NaN 0 NaN
660 NaN 0 NaN
661 NaN 0 NaN
662 NaN 0 NaN
663 NaN 0 NaN
664 NaN 0 NaN
665 2 0 0
666 2 0 0
667 NaN 0 NaN
668 NaN 0 NaN
669 2 0 0
670 NaN 0 NaN
671 NaN 0 NaN
672 NaN 0 NaN
673 NaN 0 NaN
674 NaN 0 NaN
675 NaN 0 NaN
676 NaN 0 NaN
677 NaN 0 NaN
678 NaN 0 NaN
679 NaN 0 NaN
680 NaN 0 NaN
681 5 0 0
682 NaN 0 NaN
683 NaN 0 NaN
684 NaN 0 NaN
685 5 0 0
686 NaN 0 NaN
687 2 0 0
688 NaN 0 NaN
689 NaN 0 NaN
690 NaN 0 NaN
691 NaN 0 NaN
692 NaN 0 NaN
693 NaN 0 NaN
694 NaN 0 NaN
695 NaN 0 NaN
696 NaN 0 NaN
697 NaN 0 NaN
698 NaN 0 NaN
699 NaN 0 NaN
700 NaN 0 NaN
701 2 0 0
702 NaN 0 NaN
703 NaN 0 NaN
704 NaN 0 NaN
705 NaN 0 NaN
706 NaN 0 NaN
707 NaN 0 NaN
708 2 0 0
709 NaN 0 NaN
710 NaN 0 NaN
711 NaN 0 NaN
712 NaN 0 NaN
713 NaN 0 NaN
714 NaN 0 NaN
715 NaN 0 NaN
716 NaN 0 NaN
717 NaN 0 NaN
718 NaN 0 NaN
719 NaN 0 NaN
720 NaN 0 NaN
721 NaN 0 NaN
722 NaN 0 NaN
723 NaN 0 NaN
724 NaN 0 NaN
725 NaN 0 NaN
726 NaN 0 NaN
727 NaN 0 NaN
728 NaN 0 NaN
729 NaN 0 NaN
730 NaN 0 NaN
731 NaN 0 NaN
732 NaN 0 NaN
733 NaN 0 NaN
734 NaN 0 NaN
735 NaN 0 NaN
736 NaN 0 NaN
737 NaN 0 NaN
738 NaN 0 NaN
739 2 0 0
740 NaN 0 NaN
741 NaN 0 NaN
742 2 0 0
743 NaN 0 NaN
744 2 0 0
745 NaN 0 NaN
746 2 0 0
747 NaN 0 NaN
748 NaN 0 NaN
749 NaN 0 NaN
750 NaN 0 NaN
751 NaN 0 NaN
752 NaN 0 NaN
753 NaN 0 NaN
754 NaN 0 NaN
755 2 0 0
756 NaN 0 NaN
757 NaN 0 NaN
758 NaN 0 NaN
759 NaN 0 NaN
760 NaN 0 NaN
761 NaN 0 NaN
762 NaN 0 NaN
763 5 0 0
764 NaN 0 NaN
765 NaN 0 NaN
766 NaN 0 NaN
767 NaN 0 NaN
768 NaN 0 NaN
769 NaN 0 NaN
770 2 0 0
771 NaN 0 NaN
772 NaN 0 NaN
773 NaN 0 NaN
774 NaN 0 NaN
775 NaN 0 NaN
776 2 0 0
777 2 0 0
778 NaN 0 NaN
779 NaN 0 NaN
780 NaN 0 NaN
781 NaN 0 NaN
782 NaN 0 NaN
783 NaN 0 NaN
784 NaN 0 NaN
785 NaN 0 NaN
786 2 0 0
787 2 0 0
788 5 0 0
789 2 0 0
790 NaN 0 NaN
791 NaN 0 NaN
792 NaN 0 NaN
793 NaN 0 NaN
794 NaN 0 NaN
795 5 0 0
796 NaN 0 NaN
797 NaN 0 NaN
798 NaN 0 NaN
799 5 0 0
800 NaN 0 NaN
801 2 0 0
802 NaN 0 NaN
803 NaN 0 NaN
804 NaN 0 NaN
805 2 0 0
806 3 0 0
807 2 0 0
808 2 0 0
809 NaN 0 NaN
810 NaN 0 NaN
811 NaN 0 NaN
812 NaN 0 NaN
813 NaN 0 NaN
814 NaN 0 NaN
815 2 0 0
816 NaN 0 NaN
817 NaN 0 NaN
818 NaN 0 NaN
819 5 0 0
820 NaN 0 NaN
821 NaN 0 NaN
822 2 0 0
823 NaN 0 NaN
824 NaN 0 NaN
825 NaN 0 NaN
826 NaN 0 NaN
827 NaN 0 NaN
828 NaN 0 NaN
829 NaN 0 NaN
830 NaN 0 NaN
831 NaN 0 NaN
832 NaN 0 NaN
833 5 0 0
834 NaN 0 NaN
835 NaN 0 NaN
836 NaN 0 NaN
837 NaN 0 NaN
838 NaN 0 NaN
839 5 0 0
840 2 0 0
841 NaN 0 NaN
842 NaN 0 NaN
843 NaN 0 NaN
844 NaN 0 NaN
845 NaN 0 NaN
846 NaN 0 NaN
847 NaN 0 NaN
848 NaN 0 NaN
849 NaN 0 NaN
850 NaN 0 NaN
851 NaN 0 NaN
852 NaN 0 NaN
853 NaN 0 NaN
