link load
1-2 0.912653
2-1 1
2-3 1
3-2 1
2-4 0.998776
4-2 1
4-5 1
5-4 0.914694
2-6 1
6-2 0.868776
3-7 1
7-3 0.89
6-8 1
8-6 0.70551
3-9 1
9-3 0.951837
2-10 0
10-2 0.100408
