AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 0 
2 0 0 0 0 0 
3 0 2 9 1 5 
4 0 2 9 1 5 
5 0 0 0 0 0 
6 0 0 0 0 0 
7 0 2 6 0 7 
8 0 0 0 0 0 
9 0 7 6 0 6 
10 0 10 5 4 3 
