link load
1-2 1
2-1 0.9999999999999988
1-3 0.9999999999999998
3-1 0.9999999999999998
1-4 0.9999999999999999
4-1 0.9989795918366224
2-5 1
5-2 0.9999999999999993
5-6 1
6-5 0.9999999999999993
1-7 0.9989795918366225
7-1 1
6-8 1
8-6 1.000000000000001
8-9 1
9-8 1
6-10 1.000000000000002
10-6 1
