#rank requests intersection
1 1079 0
2 584 0
3 377 0
4 245 0
5 208 0
6 184 0
7 138 0
8 147 0
9 118 0
10 119 0
11 108 0
12 90 0
13 82 0
14 90 0
15 87 0
16 58 0
17 56 0
18 65 0
19 52 0
20 51 0
21 35 0
22 59 0
23 39 0
24 51 0
25 42 0
26 48 0
27 35 0
28 37 0
29 36 0
30 33 0
31 30 0
32 45 0
33 52 0
34 28 0
35 30 0
36 31 0
37 25 0
38 25 0
39 31 0
40 32 0
41 30 0
42 28 0
43 21 0
44 25 0
45 24 0
46 28 0
47 19 0
48 27 0
49 24 0
50 23 0
51 18 0
52 32 0
53 16 0
54 22 0
55 23 0
56 19 0
57 29 0
58 14 0
59 17 0
60 15 0
61 23 0
62 19 0
63 17 0
64 14 0
65 16 0
66 24 0
67 12 0
68 15 0
69 22 0
70 15 0
71 12 0
72 12 0
73 10 0
74 9 0
75 13 0
76 9 0
77 12 0
78 15 0
79 15 0
80 19 0
81 17 0
82 10 0
83 12 0
84 15 0
85 16 0
86 9 0
87 18 0
88 7 0
89 12 0
90 11 0
91 15 0
92 15 0
93 11 0
94 12 0
95 8 0
96 14 0
97 12 0
98 9 0
99 11 0
100 6 0
101 4 0
102 14 0
103 8 0
104 8 0
105 9 0
106 15 0
107 11 0
108 13 0
109 13 0
110 10 0
111 14 0
112 12 0
113 8 0
114 9 0
115 10 0
116 4 0
117 4 0
118 14 0
119 5 0
120 10 0
121 10 0
122 11 0
123 6 0
124 5 0
125 7 0
126 11 0
127 4 0
128 13 0
129 5 0
130 2 0
131 10 0
132 5 0
133 3 0
134 8 0
135 9 0
136 5 0
137 4 0
138 3 0
139 5 0
140 5 0
141 2 0
142 7 0
143 7 0
144 11 0
145 9 0
146 5 0
147 12 0
148 6 0
149 8 0
150 11 0
151 5 0
152 7 0
153 4 0
154 8 0
155 6 0
156 7 0
157 7 0
158 6 0
159 7 0
160 9 0
161 7 0
162 6 0
163 7 0
164 5 0
165 7 0
166 6 0
167 7 0
168 5 0
169 9 0
170 7 0
171 7 0
172 6 0
173 2 0
174 9 0
175 3 0
176 10 0
177 2 0
178 8 0
179 2 0
180 7 0
181 6 0
182 5 0
183 6 0
184 4 0
185 3 0
186 6 0
187 7 0
188 6 0
189 3 0
190 6 0
191 5 0
192 5 0
193 8 0
194 3 0
195 4 0
196 5 0
197 8 0
198 6 0
199 7 0
200 3 0
201 4 0
202 5 0
203 8 0
204 5 0
205 3 0
206 2 0
207 4 0
208 1 0
209 5 0
210 1 0
211 3 0
212 2 0
213 5 0
214 3 0
215 5 0
216 7 0
217 5 0
218 8 0
219 6 0
220 9 0
221 5 0
222 4 0
223 5 0
224 0 0
225 10 0
226 3 0
227 2 0
228 3 0
229 7 0
230 7 0
231 5 0
232 1 0
233 3 0
234 0 0
235 4 0
236 5 0
237 2 0
238 7 0
239 5 0
240 6 0
241 2 0
242 4 0
243 3 0
244 5 0
245 8 0
246 5 0
247 4 0
248 0 0
249 3 0
250 9 0
251 4 0
252 3 0
253 6 0
254 8 0
255 5 0
256 0 0
257 4 0
258 5 0
259 7 0
260 3 0
261 6 0
262 3 0
263 11 0
264 4 0
265 4 0
266 5 0
267 3 0
268 5 0
269 0 0
270 0 0
271 3 0
272 3 0
273 3 0
274 2 0
275 4 0
276 4 0
277 4 0
278 5 0
279 2 0
280 4 0
281 3 0
282 4 0
283 3 0
284 6 0
285 7 0
286 3 0
287 5 0
288 1 0
289 5 0
290 8 0
291 2 0
292 4 0
293 4 0
294 3 0
295 0 0
296 2 0
297 7 0
298 4 0
299 7 0
300 4 0
301 0 0
302 3 0
303 4 0
304 2 0
305 6 0
306 5 0
307 8 0
308 6 0
309 1 0
310 2 0
311 4 0
312 1 0
313 7 0
314 0 0
315 2 0
316 2 0
317 3 0
318 3 0
319 3 0
320 4 0
321 4 0
322 0 0
323 5 0
324 2 0
325 2 0
326 2 0
327 2 0
328 3 0
329 2 0
330 1 0
331 6 0
332 4 0
333 4 0
334 3 0
335 5 0
336 3 0
337 6 0
338 5 0
339 1 0
340 5 0
341 4 0
342 2 0
343 4 0
344 1 0
345 7 0
346 2 0
347 7 0
348 2 0
349 4 0
350 6 0
351 4 0
352 4 0
353 6 0
354 5 0
355 5 0
356 0 0
357 1 0
358 1 0
359 3 0
360 1 0
361 2 0
362 0 0
363 0 0
364 2 0
365 2 0
366 6 0
367 4 0
368 4 0
369 4 0
370 0 0
371 1 0
372 3 0
373 0 0
374 0 0
375 1 0
376 2 0
377 0 0
378 2 0
379 6 0
380 0 0
381 0 0
382 6 0
383 4 0
384 2 0
385 1 0
386 2 0
387 1 0
388 2 0
389 6 0
390 2 0
391 2 0
392 3 0
393 0 0
394 3 0
395 4 0
396 1 0
397 5 0
398 2 0
399 1 0
400 6 0
401 1 0
402 2 0
403 2 0
404 0 0
405 3 0
406 0 0
407 2 0
408 5 0
409 0 0
410 0 0
411 1 0
412 1 0
413 3 0
414 1 0
415 3 0
416 3 0
417 5 0
418 1 0
419 2 0
420 2 0
421 4 0
422 0 0
423 1 0
424 0 0
425 4 0
426 1 0
427 3 0
428 1 0
429 5 0
430 4 0
431 0 0
432 2 0
433 3 0
434 0 0
435 5 0
436 1 0
437 1 0
438 3 0
439 1 0
440 4 0
441 1 0
442 1 0
443 2 0
444 3 0
445 3 0
446 1 0
447 1 0
448 4 0
449 1 0
450 3 0
451 1 0
452 3 0
453 1 0
454 0 0
455 1 0
456 0 0
457 2 0
458 3 0
459 0 0
460 0 0
461 1 0
462 3 0
463 0 0
464 5 0
465 0 0
466 5 0
467 5 0
468 1 0
469 4 0
470 0 0
471 2 0
472 3 0
473 1 0
474 2 0
475 0 0
476 1 0
477 6 0
478 3 0
479 0 0
480 3 0
481 2 0
482 2 0
483 1 0
484 3 0
485 1 0
486 1 0
487 0 0
488 0 0
489 0 0
490 2 0
491 2 0
492 2 0
493 5 0
494 5 0
495 9 0
496 2 0
497 2 0
498 2 0
499 2 0
500 1 0
501 1 0
502 1 0
503 0 0
504 4 0
505 2 0
506 4 0
507 2 0
508 3 0
509 4 0
510 1 0
511 1 0
512 5 0
513 5 0
514 0 0
515 6 0
516 0 0
517 2 0
518 0 0
519 0 0
520 3 0
521 3 0
522 3 0
523 3 0
524 4 0
525 5 0
526 0 0
527 5 0
528 0 0
529 1 0
530 1 0
531 0 0
532 2 0
533 2 0
534 3 0
535 2 0
536 0 0
537 2 0
538 1 0
539 1 0
540 2 0
541 0 0
542 0 0
543 1 0
544 3 0
545 0 0
546 0 0
547 0 0
548 4 0
549 0 0
550 0 0
551 0 0
552 3 0
553 0 0
554 0 0
555 2 0
556 3 0
557 2 0
558 2 0
559 4 0
560 7 0
561 0 0
562 1 0
563 5 0
564 1 0
565 2 0
566 0 0
567 0 0
568 1 0
569 2 0
570 0 0
571 2 0
572 0 0
573 4 0
574 6 0
575 0 0
576 0 0
577 0 0
578 1 0
579 0 0
580 2 0
581 0 0
582 5 0
583 2 0
584 2 0
585 1 0
586 0 0
587 0 0
588 0 0
589 4 0
590 0 0
591 0 0
592 3 0
593 1 0
594 0 0
595 1 0
596 3 0
597 0 0
598 0 0
599 0 0
600 2 0
601 2 0
602 0 0
603 0 0
604 4 0
605 3 0
606 3 0
607 0 0
608 2 0
609 2 0
610 0 0
611 0 0
612 0 0
613 3 0
614 0 0
615 3 0
616 3 0
617 0 0
618 0 0
619 2 0
620 5 0
621 3 0
622 1 0
623 5 0
624 2 0
625 4 0
626 1 0
627 2 0
628 2 0
629 0 0
630 1 0
631 0 0
632 1 0
633 0 0
634 1 0
635 3 0
636 0 0
637 0 0
638 0 0
639 0 0
640 1 0
641 0 0
642 3 0
643 0 0
644 0 0
645 1 0
646 2 0
647 4 0
648 0 0
649 1 0
650 7 0
651 4 0
652 3 0
653 0 0
654 0 0
655 3 0
656 1 0
657 1 0
658 0 0
659 1 0
660 0 0
661 0 0
662 2 0
663 0 0
664 1 0
665 1 0
666 2 0
667 0 0
668 1 0
669 1 0
670 0 0
671 3 0
672 1 0
