AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 5 15 3 0 5 
2 0 2 4 0 7 
3 6 14 2 1 5 
4 5 12 5 0 5 
5 0 12 5 2 4 
6 2 18 5 1 3 
7 13 9 2 3 4 
8 4 20 2 1 4 
9 7 13 5 2 3 
10 5 12 6 0 4 
