#rank q_avg rank q_avg
203 NaN 0 NaN
204 2 0 0
205 2 0 0
206 NaN 0 NaN
207 NaN 0 NaN
208 NaN 0 NaN
209 3 0 0
210 3 0 0
211 2 0 0
212 2 0 0
213 NaN 0 NaN
214 NaN 0 NaN
215 3 0 0
216 NaN 0 NaN
217 3 0 0
218 NaN 0 NaN
219 2 0 0
220 NaN 0 NaN
221 NaN 0 NaN
222 NaN 0 NaN
223 NaN 0 NaN
224 2 0 0
225 3 0 0
226 3 0 0
227 NaN 0 NaN
228 NaN 0 NaN
229 2 0 0
230 NaN 0 NaN
231 NaN 0 NaN
232 2 0 0
233 NaN 0 NaN
234 3 0 0
235 3 0 0
236 2 0 0
237 2 0 0
238 3 0 0
239 NaN 0 NaN
240 3 0 0
241 NaN 0 NaN
242 2 0 0
243 3 0 0
244 NaN 0 NaN
245 2 0 0
246 NaN 0 NaN
247 2 0 0
248 3 0 0
249 3 0 0
250 2 0 0
251 2 0 0
252 NaN 0 NaN
253 NaN 0 NaN
254 NaN 0 NaN
255 NaN 0 NaN
256 3 0 0
257 3 0 0
258 2 0 0
259 NaN 0 NaN
260 2 0 0
261 3 0 0
262 3 0 0
263 NaN 0 NaN
264 2 0 0
265 NaN 0 NaN
266 NaN 0 NaN
267 2 0 0
268 NaN 0 NaN
269 NaN 0 NaN
270 3 0 0
271 NaN 0 NaN
272 3 0 0
273 NaN 0 NaN
274 2 0 0
275 NaN 0 NaN
276 2 0 0
277 NaN 0 NaN
278 NaN 0 NaN
279 3 0 0
280 3 0 0
281 NaN 0 NaN
282 NaN 0 NaN
283 2 0 0
284 2 0 0
285 NaN 0 NaN
286 3 0 0
287 NaN 0 NaN
288 NaN 0 NaN
289 NaN 0 NaN
290 3 0 0
291 NaN 0 NaN
292 2 0 0
293 2 0 0
294 3 0 0
295 NaN 0 NaN
296 NaN 0 NaN
297 NaN 0 NaN
298 NaN 0 NaN
299 NaN 0 NaN
300 3 0 0
301 2 0 0
302 NaN 0 NaN
303 2 0 0
304 NaN 0 NaN
305 NaN 0 NaN
306 3 0 0
307 NaN 0 NaN
308 NaN 0 NaN
309 3 0 0
310 2 0 0
311 NaN 0 NaN
312 NaN 0 NaN
313 NaN 0 NaN
314 NaN 0 NaN
315 3 0 0
316 NaN 0 NaN
317 2 0 0
318 2 0 0
319 2 0 0
320 3 0 0
321 3 0 0
322 3 0 0
323 NaN 0 NaN
324 NaN 0 NaN
325 2 0 0
326 NaN 0 NaN
327 3 0 0
328 NaN 0 NaN
329 NaN 0 NaN
330 2 0 0
331 2 0 0
332 NaN 0 NaN
333 NaN 0 NaN
334 NaN 0 NaN
335 2 0 0
336 NaN 0 NaN
337 NaN 0 NaN
338 NaN 0 NaN
339 NaN 0 NaN
340 NaN 0 NaN
341 NaN 0 NaN
342 NaN 0 NaN
343 3 0 0
344 NaN 0 NaN
345 NaN 0 NaN
346 NaN 0 NaN
347 3 0 0
348 3 0 0
349 NaN 0 NaN
350 NaN 0 NaN
351 NaN 0 NaN
352 NaN 0 NaN
353 NaN 0 NaN
354 NaN 0 NaN
355 NaN 0 NaN
356 NaN 0 NaN
357 2 0 0
358 3 0 0
359 NaN 0 NaN
360 2 0 0
361 2 0 0
362 2 0 0
363 3 0 0
364 3 0 0
365 NaN 0 NaN
366 NaN 0 NaN
367 3 0 0
368 NaN 0 NaN
369 2 0 0
370 3 0 0
371 NaN 0 NaN
372 2 0 0
373 3 0 0
374 2 0 0
375 NaN 0 NaN
376 NaN 0 NaN
377 NaN 0 NaN
378 NaN 0 NaN
379 NaN 0 NaN
380 2 0 0
381 NaN 0 NaN
382 NaN 0 NaN
383 NaN 0 NaN
384 2 0 0
385 NaN 0 NaN
386 3 0 0
387 3 0 0
388 NaN 0 NaN
389 NaN 0 NaN
390 NaN 0 NaN
391 NaN 0 NaN
392 NaN 0 NaN
393 NaN 0 NaN
394 3 0 0
395 NaN 0 NaN
396 2 0 0
397 3 0 0
398 2 0 0
399 2 0 0
400 NaN 0 NaN
401 NaN 0 NaN
402 NaN 0 NaN
403 NaN 0 NaN
404 NaN 0 NaN
405 2 0 0
406 NaN 0 NaN
407 NaN 0 NaN
408 3 0 0
409 3 0 0
410 NaN 0 NaN
411 NaN 0 NaN
412 3 0 0
413 NaN 0 NaN
414 2 0 0
415 NaN 0 NaN
416 NaN 0 NaN
417 NaN 0 NaN
418 NaN 0 NaN
419 NaN 0 NaN
420 NaN 0 NaN
421 3 0 0
422 2 0 0
423 2 0 0
424 2 0 0
425 3 0 0
426 3 0 0
427 NaN 0 NaN
428 NaN 0 NaN
429 NaN 0 NaN
430 NaN 0 NaN
431 NaN 0 NaN
432 3 0 0
433 2 0 0
434 2 0 0
435 3 0 0
436 3 0 0
437 2 0 0
438 NaN 0 NaN
439 2 0 0
440 3 0 0
441 NaN 0 NaN
442 NaN 0 NaN
443 NaN 0 NaN
444 NaN 0 NaN
445 NaN 0 NaN
446 NaN 0 NaN
447 3 0 0
448 2 0 0
449 2 0 0
450 NaN 0 NaN
451 NaN 0 NaN
452 NaN 0 NaN
453 NaN 0 NaN
454 NaN 0 NaN
455 NaN 0 NaN
456 NaN 0 NaN
457 3 0 0
458 3 0 0
459 2 0 0
460 NaN 0 NaN
461 NaN 0 NaN
462 NaN 0 NaN
463 NaN 0 NaN
464 NaN 0 NaN
465 3 0 0
466 NaN 0 NaN
467 2 0 0
468 NaN 0 NaN
469 NaN 0 NaN
470 NaN 0 NaN
471 NaN 0 NaN
472 3 0 0
473 NaN 0 NaN
474 NaN 0 NaN
475 2 0 0
476 2 0 0
477 NaN 0 NaN
478 NaN 0 NaN
479 NaN 0 NaN
480 NaN 0 NaN
481 NaN 0 NaN
482 NaN 0 NaN
483 NaN 0 NaN
484 NaN 0 NaN
485 NaN 0 NaN
486 NaN 0 NaN
487 NaN 0 NaN
488 NaN 0 NaN
489 3 0 0
490 3 0 0
491 2 0 0
492 NaN 0 NaN
493 3 0 0
494 NaN 0 NaN
495 NaN 0 NaN
496 NaN 0 NaN
497 2 0 0
498 NaN 0 NaN
499 NaN 0 NaN
500 NaN 0 NaN
501 2 0 0
502 NaN 0 NaN
503 3 0 0
504 NaN 0 NaN
505 NaN 0 NaN
506 3 0 0
507 NaN 0 NaN
508 2 0 0
509 2 0 0
510 NaN 0 NaN
511 3 0 0
512 NaN 0 NaN
513 NaN 0 NaN
514 NaN 0 NaN
515 NaN 0 NaN
516 NaN 0 NaN
517 NaN 0 NaN
518 3 0 0
519 2 0 0
520 2 0 0
521 NaN 0 NaN
522 3 0 0
523 3 0 0
524 NaN 0 NaN
525 NaN 0 NaN
526 NaN 0 NaN
527 NaN 0 NaN
528 2 0 0
529 NaN 0 NaN
530 NaN 0 NaN
531 NaN 0 NaN
532 3 0 0
533 NaN 0 NaN
534 NaN 0 NaN
535 NaN 0 NaN
536 3 0 0
537 NaN 0 NaN
538 NaN 0 NaN
539 NaN 0 NaN
540 NaN 0 NaN
541 2 0 0
542 NaN 0 NaN
543 2 0 0
544 3 0 0
545 NaN 0 NaN
546 3 0 0
547 NaN 0 NaN
548 2 0 0
549 2 0 0
550 3 0 0
551 3 0 0
552 2 0 0
553 2 0 0
554 NaN 0 NaN
555 3 0 0
556 3 0 0
557 NaN 0 NaN
558 NaN 0 NaN
559 NaN 0 NaN
560 NaN 0 NaN
561 2 0 0
562 2 0 0
563 NaN 0 NaN
564 NaN 0 NaN
565 3 0 0
566 NaN 0 NaN
567 3 0 0
568 NaN 0 NaN
569 NaN 0 NaN
570 NaN 0 NaN
571 NaN 0 NaN
572 2 0 0
573 NaN 0 NaN
574 NaN 0 NaN
575 NaN 0 NaN
576 NaN 0 NaN
577 2 0 0
578 3 0 0
579 3 0 0
580 NaN 0 NaN
581 2 0 0
582 NaN 0 NaN
583 NaN 0 NaN
584 NaN 0 NaN
585 NaN 0 NaN
586 NaN 0 NaN
587 NaN 0 NaN
588 NaN 0 NaN
589 NaN 0 NaN
590 NaN 0 NaN
591 NaN 0 NaN
592 NaN 0 NaN
593 NaN 0 NaN
594 NaN 0 NaN
595 NaN 0 NaN
596 NaN 0 NaN
597 NaN 0 NaN
598 NaN 0 NaN
599 NaN 0 NaN
600 NaN 0 NaN
601 2 0 0
602 3 0 0
603 NaN 0 NaN
604 NaN 0 NaN
605 NaN 0 NaN
606 NaN 0 NaN
607 NaN 0 NaN
608 NaN 0 NaN
609 NaN 0 NaN
610 NaN 0 NaN
611 NaN 0 NaN
612 2 0 0
613 NaN 0 NaN
