AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 1 1 0 1 0 
2 7 2 0 0 0 
3 5 2 0 0 0 
4 9 1 0 0 0 
5 0 0 0 0 1 
6 0 5 0 0 0 
7 1 1 0 1 0 
8 7 2 0 0 0 
9 2 4 0 0 0 
10 0 0 0 0 1 
11 9 1 0 0 0 
