#rank requests AS=1 AS=2 AS=3
1 303 0 0 0
2 161 0 1 0
3 99 0 1 0
4 71 0 1 0
5 73 0 1 0
6 54 0 1 0
7 46 0 1 0
8 41 0 1 0
9 40 0 1 0
10 18 0 0 0
11 28 0 0 0
12 32 0 0 0
13 22 0 0 0
14 25 0 0 0
15 20 0 0 0
16 25 0 0 0
17 25 0 0 0
18 21 0 0 0
19 21 0 0 0
20 10 0 0 0
21 11 0 0 0
22 17 0 0 0
23 11 0 0 0
24 14 0 0 0
25 9 0 0 0
26 9 0 0 0
27 8 0 0 0
28 17 0 0 0
29 8 0 0 0
30 12 0 0 0
31 8 0 0 0
32 5 0 0 0
33 15 0 0 0
34 6 0 0 0
35 11 0 0 0
36 6 0 0 0
37 11 0 0 0
38 11 0 0 0
39 9 0 0 0
40 12 0 0 0
41 5 0 0 0
42 12 0 0 0
43 9 0 0 0
44 7 0 0 0
45 7 0 0 0
46 7 0 0 0
47 4 0 0 0
48 2 0 0 0
49 6 0 0 0
50 4 0 0 0
51 4 0 0 0
52 4 0 0 0
53 6 0 0 0
54 7 0 0 0
55 6 0 0 0
56 5 0 0 0
57 5 0 0 0
58 8 0 0 0
59 9 0 0 0
60 4 0 0 0
61 6 0 0 0
62 5 0 0 0
63 5 0 0 0
64 4 0 0 0
65 7 0 0 0
66 9 0 0 0
67 5 0 0 0
68 6 0 0 0
69 2 0 0 0
70 3 0 0 0
71 4 0 0 0
72 5 0 0 0
73 2 0 0 0
74 4 0 0 0
75 4 0 0 0
76 1 0 0 0
77 6 0 0 0
78 5 0 0 0
79 3 0 0 0
80 7 0 0 0
81 7 0 0 0
82 8 0 0 0
83 4 0 0 0
84 3 0 0 0
85 6 0 0 0
86 4 0 0 0
87 3 0 0 0
88 3 0 0 0
89 4 0 0 0
90 2 0 0 0
91 3 0 0 0
92 6 0 0 0
93 2 0 0 0
94 3 0 0 0
95 3 0 0 0
96 0 0 0 0
97 1 0 0 0
98 5 0 0 0
99 4 0 0 0
100 3 0 0 0
