AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 4 4 4 4 4 
2 4 4 4 4 4 
3 4 4 4 4 4 
4 3 3 3 3 3 
5 4 4 4 4 4 
6 4 4 4 4 4 
7 4 4 4 4 4 
