1e+05 0 0.0001 0.01 0.0001 0.0002 1e-05
1e+05 0 0.001 0.1 0.001 0.002 1e-05
1e+05 0 0.01 1 0.01 0.02 1e-05
1e+05 0.5 0.0001 0.407967 0.00795725 0.0120369 0.000477833
1e+05 0.5 0.001 1.31057 0.0294607 0.0425664 0.000157693
1e+05 0.5 0.01 4.15098 0.0979419 0.139452 5.00906e-05
1e+05 0.8 0.0001 2.51386 0.0782467 0.103385 0.00322313
1e+05 0.8 0.001 4.0872 0.178534 0.219406 0.000546934
1e+05 0.8 0.01 6.49448 0.339529 0.404474 8.73062e-05
1e+05 1 0.0001 5.53154 0.242261 0.297576 0.00751927
1e+05 1 0.001 5.71253 0.429058 0.486184 0.000818931
1e+05 1 0.01 5.73109 0.619138 0.676449 8.26294e-05
1e+05 1.2 0.0001 7.68057 0.484665 0.561471 0.0110529
1e+05 1.2 0.001 5.03876 0.707645 0.758033 0.000772612
1e+05 1.2 0.01 3.19174 0.851555 0.883473 4.9275e-05
1e+06 0 0.0001 0.01 0.0001 0.0002 1e-06
1e+06 0 0.001 0.1 0.001 0.002 1e-06
1e+06 0 0.01 1 0.01 0.02 1e-06
1e+06 0.5 0.0001 0.413785 0.00930159 0.0134394 4.97882e-05
1e+06 0.5 0.001 1.31058 0.0309231 0.0440289 1.5815e-05
1e+06 0.5 0.01 4.14509 0.0993448 0.140796 5.0034e-06
1e+06 0.8 0.0001 2.48938 0.108739 0.133633 0.000333119
1e+06 0.8 0.001 3.95557 0.206796 0.246352 5.31753e-05
1e+06 0.8 0.01 6.27077 0.362407 0.425115 8.43378e-06
1e+06 1 0.0001 4.79863 0.360417 0.408403 0.000687916
1e+06 1 0.001 4.81422 0.520087 0.568229 6.94101e-05
1e+06 1 0.01 4.81578 0.680038 0.728196 6.94726e-06
1e+06 1.2 0.0001 4.86254 0.682897 0.731522 0.000745592
1e+06 1.2 0.001 3.08012 0.821774 0.852575 4.75517e-05
1e+06 1.2 0.01 1.94419 0.9096 0.929042 3.00355e-06
1e+07 0 0.0001 0.01 0.0001 0.0002 1e-07
1e+07 0 0.001 0.1 0.001 0.002 1e-07
1e+07 0 0.01 1 0.01 0.02 1e-07
1e+07 0.5 0.0001 0.414236 0.00977385 0.0139162 4.99866e-06
1e+07 0.5 0.001 1.31014 0.0313999 0.0445013 1.58142e-06
1e+07 0.5 0.01 4.14308 0.0997924 0.141223 5.00113e-07
1e+07 0.8 0.0001 2.44233 0.127684 0.152108 3.28326e-05
1e+07 0.8 0.001 3.87183 0.223765 0.262483 5.20736e-06
1e+07 0.8 0.01 6.13659 0.376062 0.437428 8.2537e-07
1e+07 1 0.0001 4.15025 0.448358 0.48986 5.98372e-05
1e+07 1 0.001 4.1516 0.586249 0.627765 5.98911e-06
1e+07 1 0.01 4.15173 0.724164 0.765681 5.98965e-07
1e+07 1.2 0.0001 3.01362 0.804032 0.834168 4.6525e-05
1e+07 1.2 0.001 1.90221 0.889962 0.908984 2.9387e-06
1e+07 1.2 0.01 1.20026 0.944192 0.956195 1.8544e-07
1e+08 0 0.0001 0.01 0.0001 0.0002 1e-08
1e+08 0 0.001 0.1 0.001 0.002 1e-08
1e+08 0 0.01 1 0.01 0.02 1e-08
1e+08 0.5 0.0001 0.414236 0.00992796 0.0140703 5.00012e-07
1e+08 0.5 0.001 1.30995 0.0315521 0.0446517 1.58125e-07
1e+08 0.5 0.01 4.14244 0.0999343 0.141359 5.00036e-08
1e+08 0.8 0.0001 2.41038 0.139303 0.163407 3.2418e-06
1e+08 0.8 0.001 3.82029 0.234115 0.272318 5.13828e-07
1e+08 0.8 0.01 6.05477 0.384383 0.444931 8.14369e-08
1e+08 1 0.0001 3.64842 0.515194 0.551678 5.26321e-06
1e+08 1 0.001 3.64853 0.636394 0.672879 5.26369e-07
1e+08 1 0.01 3.64855 0.757596 0.794081 5.26374e-08
1e+08 1.2 0.0001 1.87665 0.878001 0.896768 2.89921e-06
1e+08 1.2 0.001 1.18413 0.931503 0.943344 1.82947e-07
1e+08 1.2 0.01 0.747139 0.965261 0.972732 1.15433e-08
