#1.N,2.ctlg,3.ctlg_eps,4.ctlg_perm,5.K,6.alpha0,7.alpha_eps,8.req_eps,9.R_perm,10.hit_opt%,11.hit_unif%,12.improvement%,c2ctlg
2,100000,0.2,2,10000,0.4,0.2,0.4,1,34.2104,29.135,5.07538,1E-1
2,100000,0.4,2,10,1,0.4,0.2,1,41.69,36.6225,5.06754,1E-4
4,10000000,0,1,10,1,0.4,0.2,1,26.023,20.9669,5.05613,1E-6
2,100000,0.2,2,10000,1,0.4,0.2,2,66.2611,61.2319,5.02924,1E-1
2,100000,0.2,2,10,1,0.4,0.2,1,41.6303,36.6066,5.02369,1E-4
2,100000,0,1,10,1,0.4,0.2,1,41.5885,36.6158,4.97272,1E-4
2,100000,0,2,10,1,0.4,0.2,1,41.5885,36.6158,4.97272,1E-4
8,10000000,0,1,10,1,0.4,0,2,16.4266,11.4663,4.96025,1E-6
2,10000000,0.4,2,10,1,0.2,0.4,1,32.3584,27.4063,4.95214,1E-6
8,100000,0,2,10,1,0.4,0.4,1,22.6285,17.6998,4.92868,1E-4
4,10000000,0.2,1,10,1,0.4,0,1,22.4451,17.5214,4.92373,1E-6
2,10000000,0.2,2,10,1,0.2,0.4,1,32.2728,27.3581,4.91466,1E-6
2,100000,0.2,1,10,1,0.4,0.2,1,41.5572,36.649,4.9082,1E-4
4,10000000,0.4,1,10,1,0.4,0,1,22.435,17.5356,4.89931,1E-6
2,10000000,0,1,10,1,0.2,0.4,1,32.21,27.3339,4.87604,1E-6
2,10000000,0,2,10,1,0.2,0.4,1,32.21,27.3339,4.87604,1E-6
4,100000,0.2,1,10000,1,0.4,0.4,2,72.3194,67.4609,4.85845,1E-1
8,1000000,0.2,2,10,1,0.4,0,2,16.9713,12.1372,4.83405,1E-5
2,10000000,0.2,1,10,1,0.2,0.4,1,32.1609,27.3288,4.8321,1E-6
2,100000,0.4,1,10000,1,0.2,0.4,2,78.8509,74.0198,4.8311,1E-1
2,100000,0.4,1,10,1,0.4,0.2,1,41.5324,36.7138,4.81855,1E-4
4,10000000,0.2,2,10,1,0.4,0.4,1,29.605,24.7943,4.8107,1E-6
8,10000000,0.4,2,10,1,0.4,0.2,1,18.8791,14.0686,4.81054,1E-6
8,1000000,0.2,2,10,1,0.4,0.2,1,19.3019,14.5146,4.78733,1E-5
