#1.N,2.ctlg,3.ctlg_eps,4.ctlg_perm,5.K,6.alpha0,7.alpha_eps,8.req_eps,9.R_perm,10.hit_opt%,11.hit_unif%,12.improvement%,c2ctlg
2,10000000,0,2,1000,0.7,0.4,0,2,21.4116,19.5279,1.88371,1E-4
4,1000000,0.4,1,10,0.7,0.4,0.2,1,6.17712,4.29411,1.88301,1E-5
2,10000000,0.4,1,100,0.7,0.4,0,1,14.1463,12.2639,1.88241,1E-5
2,10000000,0.4,1,100,0.7,0.4,0,2,14.1463,12.2639,1.88241,1E-5
2,100000,0.2,2,10,0.7,0.2,0.4,1,8.4394,6.55778,1.88162,1E-4
8,10000000,0.2,2,10,1,0.4,0.4,2,11.8461,9.96495,1.88111,1E-6
4,1000000,0,1,100,0.7,0.4,0.2,1,12.812,10.9343,1.87772,1E-4
4,1000000,0,2,100,0.7,0.4,0.2,1,12.812,10.9343,1.87772,1E-4
8,10000000,0.4,2,100,1,0.4,0,1,30.6027,28.7261,1.87657,1E-5
8,100000,0.2,1,10,0.7,0.4,0.2,1,5.59782,3.7217,1.87612,1E-4
4,100000,0.4,2,10000,1,0.4,0,1,73.1706,71.2955,1.8751,1E-1
4,100000,0.4,2,10000,1,0.4,0,2,73.1706,71.2955,1.8751,1E-1
8,100000,0.2,1,10000,1,0.2,0.4,2,75.5429,73.6693,1.87361,1E-1
4,100000,0.2,1,10000,0.7,0.2,0.4,2,48.6154,46.743,1.87242,1E-1
2,100000,0.2,1,100,0.7,0.2,0.4,1,17.0055,15.1351,1.87048,1E-3
4,1000000,0.2,2,10000,0.4,0.4,0.4,1,10.6214,8.75163,1.86981,1E-2
8,10000000,0,1,10,0.7,0.4,0.4,1,3.79729,1.92782,1.86948,1E-6
8,10000000,0.4,2,10,1,0.2,0.2,2,9.74444,7.8764,1.86804,1E-6
4,100000,0.4,1,10000,0.4,0.4,0.2,2,28.3337,26.4664,1.86724,1E-1
4,10000000,0.4,1,1000,0.7,0.4,0.4,1,17.9663,16.0994,1.86689,1E-4
2,10000000,0.2,2,10,1,0.2,0.2,2,18.5207,16.6541,1.86666,1E-6
4,1000000,0.2,1,10,0.7,0.4,0.4,1,7.22939,5.3649,1.86449,1E-5
4,10000000,0.4,2,100,0.7,0.4,0.2,1,10.4439,8.57982,1.86406,1E-5
8,1000000,0.4,2,100,0.7,0.4,0.2,1,10.3577,8.49452,1.86319,1E-4
2,10000000,0.4,2,10,0.7,0.4,0,1,8.30977,6.4478,1.86197,1E-6
2,10000000,0.4,2,10,0.7,0.4,0,2,8.30977,6.4478,1.86197,1E-6
8,10000000,0.4,2,10,1,0.2,0,2,11.1862,9.32664,1.85959,1E-6
4,1000000,0.2,1,1000,0.7,0.4,0.4,1,23.721,21.862,1.85904,1E-3
4,1000000,0.2,2,10,0.7,0.4,0,1,5.47651,3.61991,1.85661,1E-5
4,100000,0.4,1,10000,1,0.2,0.2,2,78.8048,76.9485,1.85627,1E-1
2,1000000,0.4,2,10000,1,0.4,0.4,2,40.6875,38.8324,1.8551,1E-2
8,10000000,0.4,1,10,1,0.4,0.4,2,11.8268,9.97255,1.8542,1E-6
4,100000,0,1,100,0.7,0.4,0.2,1,17.3295,15.4768,1.85274,1E-3
4,100000,0,2,100,0.7,0.4,0.2,1,17.3295,15.4768,1.85274,1E-3
8,1000000,0,2,10,0.7,0.4,0.2,1,4.22071,2.36873,1.85198,1E-5
8,100000,0.4,1,10,0.7,0.4,0.4,1,6.24641,4.39445,1.85196,1E-4
8,10000000,0.4,2,1000,0.7,0.4,0.4,1,15.237,13.3859,1.85106,1E-4
2,10000000,0.2,1,10000,0.7,0.4,0.2,1,33.9925,32.1417,1.85079,1E-3
2,1000000,0.4,1,100,1,0.2,0.4,1,49.3334,47.485,1.84844,1E-4
4,100000,0.4,1,10,0.7,0.4,0,2,6.77462,4.92761,1.84701,1E-4
8,100000,0,1,100,1,0.4,0.4,1,42.7572,40.9129,1.84427,1E-3
8,100000,0,2,100,1,0.4,0.4,1,42.7572,40.9154,1.84178,1E-3
8,10000000,0,2,100,1,0.4,0,2,30.5832,28.7422,1.84105,1E-5
8,100000,0,1,10000,0.4,0.4,0.4,1,28.9847,27.1442,1.84051,1E-1
8,100000,0,2,10000,0.4,0.4,0.4,1,28.9847,27.1442,1.84051,1E-1
2,100000,0.4,2,10000,0.7,0.2,0.4,1,59.9752,58.1357,1.83946,1E-1
8,10000000,0.4,2,100,1,0.4,0,2,30.6027,28.7648,1.83793,1E-5
2,100000,0.4,2,10,1,0.4,0.4,2,20.845,19.0079,1.83709,1E-4
2,100000,0.2,1,10000,0.4,0,0.2,2,27.9947,26.1591,1.83569,1E-1
2,100000,0.2,2,10000,0.4,0,0.2,1,27.9947,26.1591,1.83569,1E-1
8,1000000,0.2,2,1000,0.7,0.4,0.4,1,20.5826,18.7488,1.83374,1E-3
2,100000,0.2,1,10,0.7,0.4,0.2,2,9.26451,7.43385,1.83066,1E-4
8,10000000,0.2,1,100,1,0.4,0,1,30.5809,28.7504,1.83042,1E-5
8,10000000,0.4,2,100,0.7,0.4,0.4,1,8.77906,6.95004,1.82902,1E-5
2,10000000,0,1,10,1,0.2,0.2,2,18.5071,16.6798,1.82731,1E-6
2,10000000,0,2,10,1,0.2,0.2,2,18.5071,16.6798,1.82731,1E-6
2,1000000,0.2,1,10000,1,0.4,0.2,2,51.0867,49.2605,1.82624,1E-2
2,100000,0.2,1,10000,1,0.2,0,1,79.2461,77.4204,1.82572,1E-1
2,100000,0.2,1,10000,1,0.2,0,2,79.2461,77.4204,1.82572,1E-1
4,100000,0.4,1,10,1,0.2,0,1,18.5093,16.684,1.82531,1E-4
2,10000000,0.2,1,1000,0.7,0.4,0,1,21.1305,19.3064,1.8241,1E-4
2,10000000,0.2,1,1000,0.7,0.4,0,2,21.1305,19.3064,1.8241,1E-4
2,10000000,0.4,2,1000,0.7,0.2,0.4,1,14.8551,13.0311,1.824,1E-4
2,10000000,0.2,2,10,0.7,0.4,0,1,8.13364,6.31236,1.82128,1E-6
2,10000000,0.2,2,10,0.7,0.4,0,2,8.13364,6.31236,1.82128,1E-6
4,1000000,0.2,1,100,0.7,0.4,0.2,1,12.6211,10.8009,1.82021,1E-4
8,10000000,0.2,2,100,1,0.2,0.4,1,29.6196,27.8025,1.81712,1E-5
8,10000000,0,2,100,0.7,0.4,0.4,1,8.4325,6.61581,1.81669,1E-5
2,1000000,0.2,2,1000,0.7,0.4,0,1,26.1432,24.3272,1.81599,1E-3
2,1000000,0.2,2,1000,0.7,0.4,0,2,26.1432,24.3272,1.81599,1E-3
8,10000000,0.4,1,100,1,0.4,0,1,30.5825,28.7667,1.81581,1E-5
4,10000000,0.4,2,10000,0.7,0.4,0.4,1,27.9844,26.1691,1.8153,1E-3
4,10000000,0.2,2,100,0.7,0.4,0.2,1,10.2235,8.41074,1.81276,1E-5
2,100000,0.4,2,10,1,0.2,0,1,25.4494,23.6369,1.81254,1E-4
2,100000,0.4,2,10,1,0.2,0,2,25.4494,23.6369,1.81254,1E-4
2,100000,0.4,2,1000,0.4,0.4,0,1,10.8858,9.07701,1.80883,1E-2
2,100000,0.4,2,1000,0.4,0.4,0,2,10.8858,9.07701,1.80883,1E-2
8,10000000,0,1,100,1,0.4,0,1,30.5832,28.7748,1.80842,1E-5
8,100000,0.2,1,10000,0.4,0.2,0.4,2,26.8146,25.0069,1.8077,1E-1
8,1000000,0.4,1,10,0.7,0.4,0.4,1,4.69335,2.88963,1.80371,1E-5
2,10000000,0,1,10000,0.7,0.2,0.4,1,22.4813,20.6803,1.80109,1E-3
2,10000000,0,2,10000,0.7,0.2,0.4,1,22.4813,20.6803,1.80109,1E-3
8,100000,0.4,2,10,1,0.4,0.4,2,13.3661,11.5651,1.80097,1E-4
8,100000,0.2,2,100,1,0.4,0.4,1,42.8045,41.0043,1.80023,1E-3
4,100000,0.2,1,10,1,0,0.4,2,16.2375,14.4387,1.79882,1E-4
8,100000,0.2,1,10000,0.7,0.4,0.4,2,47.397,45.5983,1.7987,1E-1
8,10000000,0.2,1,100,0.7,0.4,0.4,1,8.30673,6.51171,1.79502,1E-5
2,1000000,0.2,2,10000,1,0.2,0.4,2,52.7549,50.9604,1.79449,1E-2
4,10000000,0.4,2,10,0.7,0.4,0,1,4.49239,2.69809,1.79429,1E-6
8,10000000,0.4,1,100,1,0.4,0,2,30.5825,28.7892,1.79331,1E-5
2,1000000,0.4,2,10000,0.4,0.4,0,1,11.0905,9.2972,1.7933,1E-2
2,1000000,0.4,2,10000,0.4,0.4,0,2,11.0905,9.2972,1.7933,1E-2
4,100000,0.4,1,10000,0.7,0,0.4,2,52.2645,50.4729,1.79157,1E-1
4,100000,0.4,2,10000,0.7,0,0.4,1,52.2645,50.4729,1.79157,1E-1
8,100000,0.4,1,10,0.7,0.4,0.2,1,5.5057,3.71461,1.79109,1E-4
2,10000000,0,1,10,0.7,0.4,0,1,8.00141,6.21124,1.79017,1E-6
2,10000000,0,1,10,0.7,0.4,0,2,8.00141,6.21124,1.79017,1E-6
2,10000000,0,2,10,0.7,0.4,0,1,8.00141,6.21124,1.79017,1E-6
2,10000000,0,2,10,0.7,0.4,0,2,8.00141,6.21124,1.79017,1E-6
2,1000000,0.4,2,100,0.7,0.4,0.2,2,14.4906,12.7022,1.78843,1E-4
4,100000,0,1,10000,0.7,0.4,0.4,2,46.105,44.3183,1.78669,1E-1
4,100000,0,2,10000,0.7,0.4,0.4,2,46.105,44.3183,1.78669,1E-1
2,100000,0,1,10000,0.7,0,0.4,1,50.2325,48.4472,1.78532,1E-1
2,100000,0,1,10000,0.7,0,0.4,2,50.2325,48.4472,1.78532,1E-1
2,100000,0,2,10000,0.7,0,0.4,1,50.2325,48.4472,1.78532,1E-1
2,100000,0,2,10000,0.7,0,0.4,2,50.2325,48.4472,1.78532,1E-1
4,10000000,0.4,2,100,1,0.2,0.4,1,35.7075,33.9222,1.78526,1E-5
8,10000000,0.2,2,1000,0.7,0.4,0.4,1,14.9171,13.1319,1.78524,1E-4
8,10000000,0,1,100,1,0.2,0.4,1,29.5741,27.792,1.7821,1E-5
4,100000,0.2,2,1000,0.7,0.4,0.4,1,34.3187,32.5384,1.78027,1E-2
4,1000000,0,2,10,0.7,0.4,0,1,5.37295,3.59314,1.77981,1E-5
2,10000000,0.2,1,10,1,0.2,0.2,2,18.507,16.7274,1.77964,1E-6
2,10000000,0.4,2,100,1,0.2,0.2,1,41.2916,39.5155,1.77611,1E-5
2,1000000,0.2,2,100,0.7,0.2,0.4,1,11.8748,10.0988,1.77607,1E-4
8,10000000,0,2,100,1,0.2,0.4,1,29.5741,27.7989,1.77513,1E-5
8,100000,0.4,1,100,0.7,0.4,0.4,1,15.3114,13.5366,1.77476,1E-3
4,10000000,0.4,1,10,0.7,0.4,0.4,1,5.83172,4.05875,1.77297,1E-6
4,10000000,0,1,100,0.7,0.4,0.2,1,10.0549,8.28267,1.77224,1E-5
4,10000000,0,2,100,0.7,0.4,0.2,1,10.0549,8.28267,1.77224,1E-5
2,100000,0.2,2,10,1,0.4,0.4,2,20.8151,19.0447,1.77043,1E-4
2,100000,0.4,2,100,0.7,0.2,0.2,1,16.6717,14.9022,1.76953,1E-3
2,100000,0.4,1,100,0.7,0.4,0,1,20.7182,18.9495,1.76862,1E-3
2,100000,0.4,1,100,0.7,0.4,0,2,20.7182,18.9495,1.76862,1E-3
8,1000000,0.4,1,100,0.7,0.4,0.4,1,10.8714,9.1029,1.76854,1E-4
8,100000,0.4,2,1000,0.7,0.4,0.4,1,31.2278,29.4601,1.76774,1E-2
2,100000,0.4,2,1000,0.4,0.2,0.2,1,10.1058,8.33847,1.76732,1E-2
4,10000000,0.2,2,10,1,0.4,0.4,2,15.5423,13.7758,1.76648,1E-6
2,10000000,0.2,1,10,0.7,0.4,0,1,7.8961,6.13146,1.76464,1E-6
2,10000000,0.2,1,10,0.7,0.4,0,2,7.8961,6.13146,1.76464,1E-6
8,10000000,0.2,1,10,0.7,0.4,0.4,1,3.74006,1.97553,1.76453,1E-6
8,100000,0.2,1,100,1,0.4,0.4,1,42.7312,40.9678,1.76345,1E-3
4,1000000,0.4,1,100,0.7,0.4,0.2,1,12.4619,10.6995,1.76239,1E-4
2,100000,0,1,10,0.7,0.2,0.4,1,8.08659,6.32437,1.76222,1E-4
2,100000,0,2,10,0.7,0.2,0.4,1,8.08659,6.32437,1.76222,1E-4
2,1000000,0.4,2,10000,0.4,0.2,0.2,1,10.2296,8.46968,1.75991,1E-2
2,1000000,0.4,2,100,1,0.4,0.2,1,52.7,50.9405,1.75947,1E-4
4,10000000,0,1,10,1,0.4,0.4,2,15.5381,13.7787,1.75941,1E-6
8,1000000,0,1,10,1,0.2,0.2,1,13.5052,11.7464,1.7588,1E-5
4,10000000,0.2,2,100,1,0.2,0.4,1,35.6399,33.882,1.75795,1E-5
4,1000000,0.4,1,1000,0.7,0.4,0.4,1,23.4474,21.6905,1.75685,1E-3
4,100000,0,2,10,0.7,0.4,0.2,1,8.22686,6.47069,1.75616,1E-4
2,10000000,0.4,1,1000,0.7,0.4,0,1,20.8988,19.1448,1.75407,1E-4
2,10000000,0.4,1,1000,0.7,0.4,0,2,20.8988,19.1448,1.75407,1E-4
2,1000000,0.4,2,10,0.7,0.4,0.2,2,7.99894,6.24515,1.75379,1E-5
2,100000,0.4,1,10,0.7,0.4,0.2,2,9.12819,7.37503,1.75316,1E-4
8,10000000,0.4,1,10,0.7,0.4,0.4,1,3.69182,1.93977,1.75205,1E-6
8,1000000,0.4,2,100,1,0.4,0,1,32.4567,30.7059,1.7508,1E-4
4,1000000,0,2,10,1,0.2,0,2,16.6999,14.9495,1.75036,1E-5
8,100000,0.4,1,10,1,0.4,0,1,17.8037,16.0582,1.74546,1E-4
4,100000,0.4,2,1000,0.4,0.2,0.4,1,9.51062,7.76538,1.74525,1E-2
8,10000000,0,2,100,1,0.4,0,1,30.5832,28.839,1.74416,1E-5
4,100000,0.2,1,100,0.7,0.4,0.2,1,17.0562,15.3128,1.74343,1E-3
2,10000000,0.4,1,10,0.7,0.4,0,1,7.80891,6.06661,1.74231,1E-6
2,10000000,0.4,1,10,0.7,0.4,0,2,7.80891,6.06661,1.74231,1E-6
4,1000000,0.2,1,10,0.7,0.4,0,2,5.28962,3.54791,1.74171,1E-5
8,1000000,0,1,1000,0.7,0.4,0.4,1,20.2257,18.4842,1.74151,1E-3
8,1000000,0,2,1000,0.7,0.4,0.4,1,20.2257,18.4842,1.74151,1E-3
4,100000,0,2,10,1,0.2,0.4,1,23.0987,21.3593,1.73943,1E-4
8,10000000,0,1,100,0.7,0.4,0.4,1,8.4325,6.69362,1.73888,1E-5
8,100000,0.4,1,10000,0.4,0,0.2,2,28.1611,26.423,1.73817,1E-1
8,100000,0.4,2,10000,0.4,0,0.2,1,28.1611,26.423,1.73817,1E-1
4,10000000,0.2,1,100,0.7,0.4,0.2,1,9.9185,8.18095,1.73755,1E-5
2,10000000,0.2,2,100,1,0.2,0.2,1,41.2289,39.4926,1.73627,1E-5
8,100000,0.2,1,10,1,0.2,0,2,13.4538,11.7178,1.73598,1E-4
2,100000,0.2,2,1000,0.7,0.4,0.2,1,39.0523,37.3169,1.73533,1E-2
4,1000000,0.4,2,10000,0.4,0.2,0.4,1,9.66359,7.92905,1.73453,1E-2
4,10000000,0.2,2,10000,0.7,0.4,0.4,1,27.448,25.7165,1.73151,1E-3
8,10000000,0,1,1000,0.7,0.4,0.4,1,14.6642,12.9353,1.72888,1E-4
8,10000000,0,2,1000,0.7,0.4,0.4,1,14.6642,12.9353,1.72888,1E-4
4,10000000,0,1,100,1,0.2,0.4,1,35.5961,33.8674,1.72864,1E-5
4,10000000,0,2,100,1,0.2,0.4,1,35.5961,33.8674,1.72864,1E-5
4,10000000,0,1,10,1,0.4,0.2,2,18.9375,17.2119,1.72559,1E-6
4,1000000,0.4,2,100,1,0.4,0.2,1,41.8229,40.0986,1.72425,1E-4
2,1000000,0.2,2,100,1,0.4,0.2,1,52.6825,50.9594,1.72313,1E-4
4,100000,0.4,2,100,1,0.4,0.4,1,49.5277,47.8048,1.72286,1E-3
2,1000000,0,1,10000,0.7,0.2,0.4,1,34.5432,32.8215,1.72169,1E-2
2,1000000,0,2,10000,0.7,0.2,0.4,1,34.5432,32.8215,1.72169,1E-2
8,100000,0,1,10000,1,0.2,0.4,2,74.5412,72.8203,1.72087,1E-1
8,100000,0,2,10000,1,0.2,0.4,2,74.5412,72.8203,1.72087,1E-1
8,100000,0.2,2,100,0.7,0.4,0.2,1,14.4493,12.7289,1.72038,1E-3
2,100000,0.2,2,10,1,0.2,0,1,25.3177,23.5974,1.72037,1E-4
2,100000,0.2,2,10,1,0.2,0,2,25.3177,23.5974,1.72037,1E-4
2,1000000,0.2,1,1000,0.7,0.2,0.4,1,19.9844,18.2645,1.71996,1E-3
2,1000000,0.2,2,100,0.7,0.4,0.2,2,14.1388,12.4198,1.71899,1E-4
4,10000000,0,1,10,0.7,0.4,0.4,1,5.9815,4.26291,1.71859,1E-6
2,10000000,0.4,1,10,1,0.2,0.2,2,18.5219,16.8049,1.71695,1E-6
8,1000000,0.2,2,100,0.7,0.4,0.2,1,10.1146,8.3989,1.71571,1E-4
4,100000,0.4,2,1000,0.4,0.4,0.2,1,10.1542,8.43948,1.71471,1E-2
4,10000000,0,1,10,1,0.2,0.2,1,17.8184,16.1039,1.71454,1E-6
4,10000000,0,2,10,1,0.2,0.2,1,17.8184,16.1039,1.71454,1E-6
8,10000000,0.4,1,100,0.7,0.4,0.4,1,8.19981,6.4854,1.71442,1E-5
2,100000,0.4,1,1000,1,0.2,0.4,2,52.2286,50.5167,1.71196,1E-2
4,10000000,0.4,2,1000,0.7,0.4,0.2,1,16.7068,14.9968,1.71006,1E-4
4,1000000,0.4,2,10,0.7,0.4,0,1,5.61294,3.90463,1.70831,1E-5
4,10000000,0.4,1,100,0.7,0.4,0.2,1,9.80406,8.09849,1.70556,1E-5
2,1000000,0.2,2,10,0.7,0.4,0.2,2,7.80473,6.09928,1.70545,1E-5
2,100000,0.4,2,100,1,0.4,0.4,1,62.1379,60.4351,1.70278,1E-3
4,100000,0.2,1,10,0.7,0.4,0.2,1,8.07835,6.37633,1.70202,1E-4
8,1000000,0.4,2,100,1,0.4,0,2,32.4567,30.7579,1.6988,1E-4
2,10000000,0.4,1,10000,0.7,0.4,0.2,1,33.6426,31.9457,1.69694,1E-3
4,100000,0.2,1,10000,1,0.4,0.2,1,78.5358,76.84,1.69572,1E-1
4,10000000,0.2,1,100,1,0.2,0.4,1,35.57,33.8752,1.69485,1E-5
4,1000000,0.2,2,100,1,0.4,0.2,1,41.8023,40.1075,1.69484,1E-4
4,1000000,0.4,2,10000,0.4,0.4,0.2,1,10.3751,8.68073,1.69437,1E-2
2,100000,0,1,10000,1,0.4,0.4,1,82.3136,80.6195,1.69419,1E-1
2,100000,0,2,10000,1,0.4,0.4,1,82.3136,80.6195,1.69419,1E-1
2,1000000,0,1,1000,0.7,0.4,0,1,25.6725,23.9799,1.6926,1E-3
2,1000000,0,1,1000,0.7,0.4,0,2,25.6725,23.9799,1.6926,1E-3
2,1000000,0,2,1000,0.7,0.4,0,1,25.6725,23.9799,1.6926,1E-3
2,1000000,0,2,1000,0.7,0.4,0,2,25.6725,23.9799,1.6926,1E-3
2,10000000,0,1,100,1,0.2,0.2,1,41.2051,39.5131,1.69202,1E-5
2,10000000,0,2,100,1,0.2,0.2,1,41.2051,39.5131,1.69202,1E-5
2,10000000,0.2,2,1000,0.7,0.2,0.4,1,14.1365,12.445,1.6915,1E-4
2,1000000,0.4,2,10000,1,0.2,0.4,2,51.992,50.301,1.691,1E-2
8,100000,0.4,2,10,0.7,0.4,0.2,1,6.01005,4.31928,1.69077,1E-4
2,100000,0,1,10,1,0.4,0.4,2,20.7943,19.106,1.68827,1E-4
2,100000,0,2,10,1,0.4,0.4,2,20.7943,19.106,1.68827,1E-4
4,10000000,0.4,2,10,0.7,0.4,0,2,4.49239,2.80743,1.68496,1E-6
2,1000000,0,1,100,1,0.4,0.2,1,52.6773,50.9994,1.6779,1E-4
2,1000000,0,2,100,1,0.4,0.2,1,52.6773,50.9994,1.6779,1E-4
8,10000000,0.2,1,1000,0.7,0.4,0.4,1,14.4554,12.7785,1.67692,1E-4
4,100000,0.2,2,100,1,0.4,0.4,1,49.4714,47.7947,1.67671,1E-3
2,100000,0.4,2,100,0.7,0.4,0.2,2,18.0015,16.3275,1.67391,1E-3
2,100000,0.4,1,1000,0.4,0,0.4,2,9.1116,7.4382,1.6734,1E-2
2,100000,0.4,2,1000,0.4,0,0.4,1,9.1116,7.4382,1.6734,1E-2
4,1000000,0.4,2,1000,0.7,0.4,0.2,1,22.11,20.4369,1.6731,1E-3
2,1000000,0.2,1,10000,0.7,0.4,0.4,1,47.6628,45.9904,1.6724,1E-2
8,10000000,0.4,2,100,1,0.2,0.4,1,29.6847,28.0125,1.67222,1E-5
8,1000000,0,2,100,0.7,0.4,0.2,1,9.9237,8.25304,1.67066,1E-4
2,1000000,0.4,1,10000,0.4,0,0.4,2,9.18972,7.51948,1.67024,1E-2
2,1000000,0.4,2,10000,0.4,0,0.4,1,9.18972,7.51948,1.67024,1E-2
4,1000000,0.2,1,10,0.7,0.4,0.2,1,6.25951,4.59157,1.66794,1E-5
8,100000,0,1,10000,1,0.4,0,1,74.4409,72.7733,1.66753,1E-1
8,100000,0,1,10000,1,0.4,0,2,74.4409,72.7733,1.66753,1E-1
8,100000,0,2,10000,1,0.4,0,1,74.4409,72.7733,1.66753,1E-1
8,100000,0,2,10000,1,0.4,0,2,74.4409,72.7733,1.66753,1E-1
4,100000,0.2,2,10,1,0.4,0,1,24.1512,22.4837,1.66747,1E-4
2,1000000,0,1,10,0.7,0.4,0.2,2,7.65973,5.99292,1.66682,1E-5
2,1000000,0,2,10,0.7,0.4,0.2,2,7.65973,5.99292,1.66682,1E-5
2,10000000,0.4,2,100,1,0.4,0,1,43.7348,42.07,1.66474,1E-5
2,10000000,0.4,2,100,1,0.4,0,2,43.7348,42.07,1.66474,1E-5
4,1000000,0.2,1,10,1,0.4,0.4,2,16.184,14.5197,1.6642,1E-5
2,100000,0.2,1,1000,1,0.4,0.4,2,41.4077,39.7447,1.663,1E-2
8,10000000,0.2,2,10,1,0.2,0.2,2,9.71646,8.05404,1.66242,1E-6
4,1000000,0.4,2,10,1,0.2,0,2,16.7932,15.1319,1.66125,1E-5
4,100000,0.2,2,10,0.7,0.4,0.2,1,8.41239,6.75147,1.66092,1E-4
4,10000000,0.4,2,100,1,0.4,0,1,35.276,33.6162,1.65982,1E-5
4,10000000,0.4,2,100,1,0.4,0,2,35.276,33.6162,1.65982,1E-5
4,1000000,0,1,100,1,0.4,0.2,1,41.7921,40.1324,1.6597,1E-4
4,1000000,0,2,100,1,0.4,0.2,1,41.7921,40.1324,1.6597,1E-4
2,1000000,0,1,100,0.7,0.2,0.4,1,11.4108,9.75175,1.65905,1E-4
2,1000000,0,2,100,0.7,0.2,0.4,1,11.4108,9.75175,1.65905,1E-4
4,10000000,0.2,2,10,0.7,0.4,0,2,4.39507,2.73876,1.65631,1E-6
8,10000000,0.4,2,10000,0.7,0.4,0.4,1,23.9181,22.2619,1.65616,1E-3
2,100000,0.4,1,100,0.7,0.2,0.4,1,16.5844,14.9283,1.65612,1E-3
8,1000000,0.4,2,10,0.7,0.4,0.2,1,4.42365,2.76792,1.65573,1E-5
2,1000000,0,1,100,0.7,0.4,0.2,2,13.8761,12.2205,1.65562,1E-4
2,1000000,0,2,100,0.7,0.4,0.2,2,13.8761,12.2205,1.65562,1E-4
2,100000,0.2,1,10,0.7,0.2,0.4,1,7.81099,6.15724,1.65375,1E-4
4,10000000,0,1,10000,0.7,0.4,0.4,1,27.0368,25.3836,1.65313,1E-3
4,10000000,0,2,10000,0.7,0.4,0.4,1,27.0368,25.3836,1.65313,1E-3
4,10000000,0.4,1,100,1,0.2,0.4,1,35.5609,33.9079,1.65305,1E-5
8,1000000,0.2,1,1000,0.7,0.4,0.4,1,19.9359,18.2849,1.65093,1E-3
4,10000000,0.2,2,1000,0.7,0.4,0.2,1,16.3694,14.7192,1.65012,1E-4
8,1000000,0.4,1,10,1,0.2,0.2,1,13.4284,11.7789,1.64956,1E-5
4,100000,0.2,2,10000,0.4,0.4,0.2,1,29.277,27.628,1.64896,1E-1
2,100000,0,1,10000,1,0.2,0,1,77.7551,76.1062,1.64888,1E-1
2,100000,0,1,10000,1,0.2,0,2,77.7551,76.1062,1.64888,1E-1
2,100000,0,2,10000,1,0.2,0,1,77.7551,76.1062,1.64888,1E-1
2,100000,0,2,10000,1,0.2,0,2,77.7551,76.1062,1.64888,1E-1
2,100000,0,1,1000,0.4,0.4,0.2,1,10.4197,8.77428,1.6454,1E-2
2,100000,0,2,1000,0.4,0.4,0.2,1,10.4197,8.77428,1.6454,1E-2
4,1000000,0.4,1,10,1,0.2,0,1,16.6508,15.006,1.64483,1E-5
2,100000,0.2,2,100,1,0.4,0.4,1,62.0849,60.4406,1.64425,1E-3
4,10000000,0.2,2,100,1,0.4,0,1,35.2702,33.6269,1.64337,1E-5
4,10000000,0.2,2,100,1,0.4,0,2,35.2702,33.6269,1.64337,1E-5
2,10000000,0.2,2,100,1,0.4,0,1,43.7273,42.0841,1.64319,1E-5
2,10000000,0.2,2,100,1,0.4,0,2,43.7273,42.0841,1.64319,1E-5
8,100000,0,1,10,1,0.2,0,1,13.4969,11.8538,1.64311,1E-4
2,100000,0,1,10,1,0.2,0,1,25.2638,23.6226,1.64122,1E-4
2,100000,0,1,10,1,0.2,0,2,25.2638,23.6226,1.64122,1E-4
2,100000,0,2,10,1,0.2,0,1,25.2638,23.6226,1.64122,1E-4
2,100000,0,2,10,1,0.2,0,2,25.2638,23.6226,1.64122,1E-4
4,100000,0,1,10,0.7,0.4,0.2,2,5.79359,4.15363,1.63995,1E-4
2,10000000,0.2,1,100,1,0.2,0.2,1,41.2145,39.5751,1.63938,1E-5
4,100000,0,1,10,1,0.4,0,1,24.1206,22.4829,1.63779,1E-4
2,100000,0.4,2,10000,0.4,0.2,0,1,29.5265,27.8888,1.63771,1E-1
2,100000,0.4,2,10000,0.4,0.2,0,2,29.5265,27.8888,1.63771,1E-1
4,100000,0.2,1,10000,1,0.2,0.2,2,77.2913,75.6545,1.63683,1E-1
8,1000000,0,1,10,1,0.2,0,1,12.0052,10.3687,1.6365,1E-5
8,1000000,0,1,100,1,0.2,0.4,1,32.4478,30.8118,1.63599,1E-4
2,1000000,0,1,10000,0.4,0.4,0.2,1,10.6271,8.99345,1.63362,1E-2
2,1000000,0,2,10000,0.4,0.4,0.2,1,10.6271,8.99345,1.63362,1E-2
2,1000000,0.2,1,10,0.7,0.4,0.2,2,7.54474,5.91205,1.6327,1E-5
8,10000000,0.2,1,100,1,0.2,0.4,1,29.5433,27.9127,1.6306,1E-5
4,1000000,0.4,2,10,0.7,0.2,0.4,1,3.52875,1.89879,1.62996,1E-5
4,1000000,0.2,2,10,0.7,0.4,0.2,1,6.48114,4.85323,1.62791,1E-5
8,10000000,0.4,1,1000,0.7,0.4,0.4,1,14.2784,12.6527,1.6257,1E-4
4,10000000,0,1,10,0.7,0.4,0,2,4.32142,2.69646,1.62496,1E-6
2,10000000,0.2,1,10000,0.7,0.2,0.4,1,21.8517,20.2272,1.62454,1E-3
8,100000,0,1,100,0.7,0.4,0.2,1,14.166,12.542,1.624,1E-3
4,10000000,0,1,100,1,0.4,0,1,35.2693,33.6454,1.62398,1E-5
4,10000000,0,1,100,1,0.4,0,2,35.2693,33.6454,1.62398,1E-5
4,10000000,0,2,100,1,0.4,0,1,35.2693,33.6454,1.62398,1E-5
