link load
1-2 1
2-1 1
2-3 1
3-2 1
1-4 0.590612
4-1 1
3-5 1
5-3 1
5-6 1
6-5 0.986327
3-7 1
7-3 1
7-8 1
8-7 0.190816
5-9 1
9-5 0.966735
3-10 1
10-3 -9.837391672237795e-17
