#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10
1 2199 0 0 0 0 1 0 1 1 1 0
2 1135 0 0 0 0 1 0 0 1 0 0
3 734 0 0 0 0 1 0 1 1 1 0
4 523 0 0 0 0 1 0 1 0 1 0
5 413 0 0 0 0 0 0 0 1 0 0
6 343 0 0 0 0 0 0 1 0 0 0
7 287 0 0 0 0 0 0 1 1 1 0
8 290 0 0 0 0 0 0 0 0 1 0
9 240 0 0 0 0 1 0 1 0 0 0
10 240 0 0 0 0 0 0 1 0 0 0
11 191 0 0 0 0 0 0 1 0 0 0
12 177 0 0 0 0 1 0 0 0 0 0
13 171 0 0 0 0 1 0 0 0 0 0
14 176 0 0 0 0 0 0 0 0 0 0
15 157 0 0 0 0 0 0 0 1 1 0
16 129 0 0 0 0 0 0 0 0 0 0
17 137 0 0 0 0 0 0 0 0 0 0
18 131 0 0 0 0 0 0 0 0 0 0
19 105 0 0 0 0 0 0 0 0 0 0
20 115 0 0 0 0 0 0 0 0 0 0
21 86 0 0 0 0 0 0 0 0 0 0
22 104 0 0 0 0 0 0 0 0 0 0
23 89 0 0 0 0 0 0 0 0 1 0
24 92 0 0 0 0 0 0 0 0 0 0
25 81 0 0 0 0 0 0 0 0 0 0
26 88 0 0 0 0 0 0 0 0 0 0
27 76 0 0 0 0 0 0 0 0 0 0
28 87 0 0 0 0 0 0 0 0 0 0
29 75 0 0 0 0 0 0 0 0 0 0
30 62 0 0 0 0 0 0 0 0 0 0
31 67 0 0 0 0 0 0 0 0 0 0
32 81 0 0 0 0 0 0 0 0 0 0
33 84 0 0 0 0 0 0 0 0 0 0
34 61 0 0 0 0 0 0 0 0 0 0
35 56 0 0 0 0 0 0 0 0 0 0
36 68 0 0 0 0 0 0 0 0 0 0
37 57 0 0 0 0 0 0 0 0 0 0
38 56 0 0 0 0 0 0 0 0 0 0
39 53 0 0 0 0 0 0 0 0 0 0
40 60 0 0 0 0 0 0 0 0 0 0
41 59 0 0 0 0 0 0 0 0 0 0
42 60 0 0 0 0 0 0 0 0 0 0
43 41 0 0 0 0 0 0 0 0 0 0
44 51 0 0 0 0 0 0 0 0 0 0
45 52 0 0 0 0 0 0 0 0 0 0
46 53 0 0 0 0 0 0 0 0 0 0
47 36 0 0 0 0 0 0 0 0 0 0
48 47 0 0 0 0 0 0 0 0 0 0
49 46 0 0 0 0 0 0 0 0 0 0
50 49 0 0 0 0 0 0 0 0 0 0
51 42 0 0 0 0 0 0 0 0 0 0
52 47 0 0 0 0 0 0 0 0 0 0
53 40 0 0 0 0 0 0 0 0 0 0
54 39 0 0 0 0 0 0 0 0 0 0
55 37 0 0 0 0 0 0 0 0 0 0
56 33 0 0 0 0 0 0 0 0 0 0
57 56 0 0 0 0 0 0 0 0 0 0
58 37 0 0 0 0 0 0 0 0 0 0
59 27 0 0 0 0 0 0 0 0 0 0
60 40 0 0 0 0 0 0 0 0 0 0
61 37 0 0 0 0 0 0 0 0 0 0
62 41 0 0 0 0 0 0 0 0 0 0
63 31 0 0 0 0 0 0 0 0 0 0
64 36 0 0 0 0 0 0 0 0 0 0
65 39 0 0 0 0 0 0 0 0 0 0
66 40 0 0 0 0 0 0 0 0 0 0
67 27 0 0 0 0 0 0 0 0 0 0
68 36 0 0 0 0 0 0 0 0 0 0
69 42 0 0 0 0 0 0 0 0 0 0
70 32 0 0 0 0 0 0 0 0 0 0
71 24 0 0 0 0 0 0 0 0 0 0
72 31 0 0 0 0 0 0 0 0 0 0
73 19 0 0 0 0 0 0 0 0 0 0
74 20 0 0 0 0 0 0 0 0 0 0
75 30 0 0 0 0 0 0 0 0 0 0
76 26 0 0 0 0 0 0 0 0 0 0
77 21 0 0 0 0 0 0 0 0 0 0
78 35 0 0 0 0 0 0 0 0 0 0
79 32 0 0 0 0 0 0 0 0 0 0
80 32 0 0 0 0 0 0 0 0 0 0
81 28 0 0 0 0 0 0 0 0 0 0
82 19 0 0 0 0 0 0 0 0 0 0
83 26 0 0 0 0 0 0 0 0 0 0
84 33 0 0 0 0 0 0 0 0 0 0
85 27 0 0 0 0 0 0 0 0 0 0
86 22 0 0 0 0 0 0 0 0 0 0
87 30 0 0 0 0 0 0 0 0 0 0
88 16 0 0 0 0 0 0 0 0 0 0
89 25 0 0 0 0 0 0 0 0 0 0
90 20 0 0 0 0 0 0 0 0 0 0
91 27 0 0 0 0 0 0 0 0 0 0
92 25 0 0 0 0 0 0 0 0 0 0
93 20 0 0 0 0 0 0 0 0 0 0
94 27 0 0 0 0 0 0 0 0 0 0
95 22 0 0 0 0 0 0 0 0 0 0
96 23 0 0 0 0 0 0 0 0 0 0
97 25 0 0 0 0 0 0 0 0 0 0
98 24 0 0 0 0 0 0 0 0 0 0
99 21 0 0 0 0 0 0 0 0 0 0
100 18 0 0 0 0 0 0 0 0 0 0
101 16 0 0 0 0 0 0 0 0 0 0
102 18 0 0 0 0 0 0 0 0 0 0
103 16 0 0 0 0 0 0 0 0 0 0
104 17 0 0 0 0 0 0 0 0 0 0
105 14 0 0 0 0 0 0 0 0 0 0
106 26 0 0 0 0 0 0 0 0 0 0
107 20 0 0 0 0 0 0 0 0 0 0
108 22 0 0 0 0 0 0 0 0 0 0
109 24 0 0 0 0 0 0 0 0 0 0
110 24 0 0 0 0 0 0 0 0 0 0
111 25 0 0 0 0 0 0 0 0 0 0
112 21 0 0 0 0 0 0 0 0 0 0
113 15 0 0 0 0 0 0 0 0 0 0
114 17 0 0 0 0 0 0 0 0 0 0
115 16 0 0 0 0 0 0 0 0 0 0
116 16 0 0 0 0 0 0 0 0 0 0
117 13 0 0 0 0 0 0 0 0 0 0
118 22 0 0 0 0 0 0 0 0 0 0
119 16 0 0 0 0 0 0 0 0 0 0
120 25 0 0 0 0 0 0 0 0 0 0
121 23 0 0 0 0 0 0 0 0 0 0
122 17 0 0 0 0 0 0 0 0 0 0
123 15 0 0 0 0 0 0 0 0 0 0
124 16 0 0 0 0 0 0 0 0 0 0
125 12 0 0 0 0 0 0 0 0 0 0
126 19 0 0 0 0 0 0 0 0 0 0
127 14 0 0 0 0 0 0 0 0 0 0
128 24 0 0 0 0 0 0 0 0 0 0
129 16 0 0 0 0 0 0 0 0 0 0
130 13 0 0 0 0 0 0 0 0 0 0
131 17 0 0 0 0 0 0 0 0 0 0
132 19 0 0 0 0 0 0 0 0 0 0
133 17 0 0 0 0 0 0 0 0 0 0
134 17 0 0 0 0 0 0 0 0 0 0
135 16 0 0 0 0 0 0 0 0 0 0
136 11 0 0 0 0 0 0 0 0 0 0
137 13 0 0 0 0 0 0 0 0 0 0
138 7 0 0 0 0 0 0 0 0 0 0
139 10 0 0 0 0 0 0 0 0 0 0
140 12 0 0 0 0 0 0 0 0 0 0
141 9 0 0 0 0 0 0 0 0 0 0
142 11 0 0 0 0 0 0 0 0 0 0
143 18 0 0 0 0 0 0 0 0 0 0
144 19 0 0 0 0 0 0 0 0 0 0
145 16 0 0 0 0 0 0 0 0 0 0
146 10 0 0 0 0 0 0 0 0 0 0
147 18 0 0 0 0 0 0 0 0 0 0
148 12 0 0 0 0 0 0 0 0 0 0
149 15 0 0 0 0 0 0 0 0 0 0
150 21 0 0 0 0 0 0 0 0 0 0
151 8 0 0 0 0 0 0 0 0 0 0
152 11 0 0 0 0 0 0 0 0 0 0
153 11 0 0 0 0 0 0 0 0 0 0
154 18 0 0 0 0 0 0 0 0 0 0
155 17 0 0 0 0 0 0 0 0 0 0
156 15 0 0 0 0 0 0 0 0 0 0
157 18 0 0 0 0 0 0 0 0 0 0
158 16 0 0 0 0 0 0 0 0 0 0
159 12 0 0 0 0 0 0 0 0 0 0
