link load
1-2 0.818163
2-1 1
2-3 1
3-2 1
2-4 1
4-2 0.943673
4-5 1
5-4 0.836939
2-6 1
6-2 0.986939
3-7 1
7-3 0.969796
6-8 1
8-6 0.838571
3-9 1
9-3 0.866327
2-10 0
10-2 0.136531
