link load
1-2 0.900204
2-1 1
2-3 1
3-2 1
2-4 0.96449
4-2 1
4-5 1
5-4 0.920612
2-6 1
6-2 0.910816
3-7 1
7-3 0.947755
6-8 1
8-6 0.805714
3-9 1
9-3 0.939796
2-10 0
10-2 0.0895918
