#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10
74 30 0 0 0 0.0026534 0 0.00166003 0 0.00143421 0.00163043 0.00192944
75 33 0 0 0 0.00199005 0 0 0 0.00322696 0.00353261 0.00137817
76 20 0 0 0 0 0 0.000332005 0 0.00107565 0.00380435 0.000551268
77 28 0 0 0 0.00364842 0 0.00199203 0 0.00322696 0.000543478 0
78 27 0 0 0 0.000995025 0.00238095 0 0 0.00394407 0.00217391 0.00110254
79 33 0 0 0 0.0013267 0 0.00332005 0 0.00645393 0 0.000275634
80 29 0 0 0 0.00232172 0 0.00365206 0 0.000358551 0.000271739 0.00248071
81 36 0 0 0 0.00199005 0 0.00166003 0 0.00501972 0.00271739 0.000275634
82 22 0 0 0 0.000995025 0 0.000664011 0 0.00250986 0.00244565 0.000275634
83 24 0 0 0 0.000331675 0 0.00132802 0 0.00394407 0.00108696 0.00110254
84 22 0 0 0 0.00298507 0 0.00132802 0 0 0.000543478 0.00192944
85 20 0 0 0 0 0 0.00232404 0 0.00286841 0.00108696 0.000275634
86 21 0 0 0.00714286 0.00066335 0 0 0 0.00143421 0.000271739 0.00275634
87 24 0 0 0 0.00199005 0 0.000996016 0 0.00215131 0.0013587 0.00110254
88 25 0 0 0 0.00364842 0 0 0 0.00322696 0.00108696 0.000275634
89 24 0 0 0 0.000331675 0 0.00464807 0 0 0.00163043 0.000826902
90 17 0 0 0.00357143 0.0013267 0.0047619 0 0 0.00215131 0.000815217 0
91 23 0 0 0 0.000995025 0.00238095 0 0 0.00358551 0.000271739 0.00220507
92 24 0 0 0 0.00364842 0 0 0 0.00107565 0 0.00275634
93 30 0 0 0 0.00298507 0 0.000996016 0 0.00107565 0.0013587 0.00275634
94 17 0 0 0 0.000331675 0 0.00166003 0 0 0.000543478 0.00248071
95 29 0 0 0 0 0 0.00398406 0.00357143 0.000358551 0.0013587 0.00275634
96 22 0 0 0 0.000331675 0 0.00166003 0 0 0.00434783 0
97 21 0 0 0 0.00199005 0 0 0 0.000358551 0.00190217 0.00192944
98 23 0 0 0 0.00431177 0 0.00166003 0 0 0.000815217 0.000551268
99 26 0 0 0 0.00165837 0.0047619 0 0 0.00179276 0.00244565 0.00137817
100 19 0 0 0 0.00066335 0 0.000332005 0 0.00215131 0.00244565 0.000275634
101 13 0 0 0.00535714 0 0.0119048 0 0 0.000717103 0.000815217 0
102 18 0 0 0 0.00199005 0 0.000332005 0 0.00107565 0 0.00220507
103 17 0 0 0.00178571 0.00066335 0 0.00199203 0 0.000717103 0.000543478 0.00110254
104 13 0 0 0 0.00066335 0 0.00265604 0 0.000358551 0.000543478 0
105 14 0 0 0.00178571 0.000995025 0 0 0 0.00107565 0.00163043 0.000275634
106 17 0 0 0 0.000331675 0 0.00132802 0 0 0.00298913 0.000275634
107 23 0 0 0 0.00066335 0 0.00398406 0 0 0.0013587 0.00110254
108 20 0 0 0 0.000995025 0 0.000332005 0 0.00286841 0.000815217 0.00137817
109 20 0 0 0 0.00066335 0 0 0 0.00430262 0.0013587 0.000275634
110 28 0 0 0 0.00066335 0 0 0 0.00322696 0.00326087 0.00137817
111 24 0 0 0 0.0013267 0 0.00232404 0 0.00107565 0.00163043 0.00110254
112 19 0 0 0 0.0026534 0.0047619 0 0 0.00143421 0.000271739 0.00110254
113 15 0 0 0 0 0 0.00332005 0 0.00107565 0.000271739 0.000275634
114 26 0 0 0 0 0 0.00232404 0 0.00430262 0.00163043 0.000275634
115 12 0 0 0 0.00066335 0 0 0 0.000717103 0.00217391 0
116 20 0 0 0.00535714 0.0039801 0 0 0 0 0.000543478 0.000826902
117 16 0 0 0 0.0013267 0 0.00166003 0 0.00143421 0.000543478 0.000275634
118 17 0 0 0 0 0 0.000664011 0 0.00322696 0.000815217 0.000826902
119 22 0 0 0 0.00232172 0.00952381 0 0 0.00322696 0.000271739 0.000275634
120 20 0 0 0.00535714 0.0013267 0 0 0 0.00107565 0.0013587 0.00137817
121 12 0 0 0 0.00199005 0 0.000996016 0 0.000358551 0.000271739 0.000275634
122 16 0 0 0 0.000995025 0 0.00132802 0 0.00143421 0.000271739 0.00110254
123 24 0 0 0 0.00199005 0 0.000996016 0 0.00215131 0.00163043 0.000826902
124 9 0 0 0 0.000331675 0 0.000996016 0 0.000358551 0.000271739 0.000826902
125 15 0 0 0 0.000331675 0 0.00132802 0 0.00107565 0.00163043 0.000275634
126 21 0 0 0 0.00232172 0.00714286 0 0 0.00143421 0.0013587 0.000551268
127 14 0 0 0 0.000331675 0 0.00166003 0 0.00179276 0.000271739 0.000551268
128 20 0 0 0 0.00066335 0 0.00199203 0 0.000358551 0.0013587 0.0016538
129 22 0 0 0 0.00298507 0 0.000664011 0 0.00143421 0.000543478 0.00137817
130 15 0 0 0.00714286 0.000331675 0.0142857 0 0 0 0.000543478 0.000551268
131 11 0 0 0 0.000995025 0 0.00132802 0 0.000358551 0.000543478 0.000275634
132 15 0 0 0 0.00066335 0 0.000332005 0 0.00358551 0.000271739 0.000275634
133 20 0 0 0 0.000331675 0 0.00265604 0 0 0.0013587 0.0016538
134 18 0 0 0 0.00331675 0.00714286 0.000332005 0 0.000358551 0.000815217 0
135 19 0 0 0 0.00165837 0.00238095 0 0 0.00179276 0 0.00220507
136 13 0 0 0 0.000995025 0.0119048 0 0 0.000717103 0.000543478 0.000275634
137 16 0 0 0 0.000331675 0.00238095 0 0 0.000717103 0.000271739 0.00303197
138 13 0 0 0 0.0013267 0.0047619 0 0 0.00107565 0.000271739 0.000826902
139 16 0 0 0 0.000331675 0 0.00132802 0 0.00215131 0.00108696 0.000275634
140 11 0 0 0 0.0013267 0.00714286 0.000664011 0 0.000358551 0.000271739 0
141 19 0 0 0 0.00066335 0 0 0 0.000358551 0.00163043 0.00275634
142 11 0 0 0 0.00165837 0 0.000996016 0 0.000358551 0.000271739 0.000275634
143 16 0 0 0.00178571 0.00464345 0 0 0 0.000358551 0 0
144 15 0 0 0 0.00066335 0 0.00265604 0 0.000717103 0.000271739 0.000551268
145 13 0 0 0 0 0 0.00166003 0 0 0 0.00220507
146 10 0 0 0 0 0.00238095 0 0 0.00143421 0.000271739 0.00110254
147 19 0 0 0 0.00364842 0 0.000332005 0 0.00179276 0.000271739 0.000275634
148 16 0 0 0 0 0.00952381 0.000996016 0 0.00143421 0.000271739 0.00110254
149 12 0 0 0.00357143 0.000995025 0 0 0 0.000358551 0.000543478 0.00110254
150 16 0 0 0 0 0 0.000332005 0 0.00466117 0.000271739 0.000275634
151 24 0 0 0 0.00232172 0 0.000332005 0 0.00179276 0.000271739 0.00275634
152 16 0 0 0 0.0013267 0 0.000996016 0 0 0.000815217 0.0016538
153 18 0 0 0 0.00165837 0 0.00166003 0 0.00179276 0.000815217 0
154 11 0 0 0 0.00066335 0 0.00166003 0 0.000358551 0.000815217 0
155 11 0 0 0 0.00066335 0 0.000332005 0 0.00179276 0.000815217 0
156 10 0 0 0 0.00066335 0 0 0 0.000358551 0.000543478 0.00137817
157 14 0 0 0 0.00066335 0 0.00232404 0 0.00143421 0.000271739 0
158 19 0 0 0 0.00165837 0 0.000996016 0 0.00179276 0.000271739 0.00137817
159 23 0 0 0.00178571 0.000331675 0 0.00232404 0 0 0.00163043 0.00220507
160 15 0 0 0 0.00066335 0 0 0 0 0.0013587 0.00220507
161 19 0 0 0 0.00165837 0 0.000332005 0 0.00250986 0.0013587 0.000275634
162 9 0 0 0 0 0 0.000332005 0 0.000717103 0 0.0016538
163 11 0 0 0 0.000331675 0.0047619 0 0 0.000717103 0.000543478 0.00110254
164 17 0 0 0 0.00199005 0 0.000332005 0 0.00179276 0.000815217 0.000551268
165 18 0 0 0 0.00165837 0.00952381 0 0 0.00215131 0.000543478 0.000275634
166 12 0 0 0 0.0026534 0.00238095 0 0 0.000717103 0 0.000275634
167 10 0 0 0 0 0 0.00166003 0 0.00179276 0 0
168 14 0 0 0 0.00165837 0 0 0 0.00143421 0.000543478 0.000826902
169 12 0 0 0 0.00066335 0 0.000664011 0 0.000717103 0.000543478 0.00110254
170 13 0 0 0 0.00165837 0 0 0 0.000717103 0.000543478 0.00110254
171 10 0 0 0 0.0013267 0 0.000664011 0 0.000717103 0.000271739 0.000275634
172 16 0 0 0 0 0 0.00298805 0 0.00143421 0.000543478 0.000275634
173 16 0 0 0 0.00232172 0.0047619 0 0 0 0.00108696 0.000826902
174 10 0 0 0 0.0013267 0 0.000332005 0 0.000358551 0 0.00110254
175 6 0 0 0 0 0.0047619 0 0 0.000358551 0.000815217 0
176 19 0 0 0 0.00199005 0 0.00132802 0 0.00179276 0.000543478 0.000551268
177 8 0 0 0 0.000995025 0 0.000332005 0 0.000358551 0.000543478 0.000275634
178 6 0 0 0 0.000331675 0 0.000332005 0 0.000358551 0.000271739 0.000551268
179 20 0 0 0 0.00232172 0 0.000332005 0 0.00215131 0 0.0016538
180 4 0 0 0 0 0 0.000332005 0 0.000358551 0.000271739 0.000275634
181 10 0 0 0.0107143 0.000331675 0 0 0 0.000358551 0.000543478 0
182 16 0 0 0 0 0 0 0 0 0.00407609 0.000275634
183 8 0 0 0 0.000331675 0 0.000332005 0.0107143 0 0 0.000826902
184 14 0 0 0 0 0 0.000332005 0 0.00250986 0.00108696 0.000551268
185 13 0 0 0.00892857 0.00199005 0 0 0 0.000358551 0.000271739 0
186 12 0 0 0 0 0 0.00132802 0 0.000358551 0.00163043 0.000275634
187 13 0 0 0 0.000331675 0 0.000996016 0 0.00107565 0.000815217 0.000826902
188 14 0 0 0.00357143 0.00066335 0 0 0 0.000717103 0.00108696 0.00110254
189 14 0 0 0 0.000995025 0 0.00332005 0 0 0.000271739 0
190 11 0 0 0 0.0013267 0 0.000664011 0 0.000717103 0 0.000826902
191 13 0 0 0 0 0 0.00265604 0 0.000717103 0.000271739 0.000551268
192 9 0 0 0 0.000331675 0 0.000332005 0 0.000717103 0.000543478 0.000826902
193 8 0 0 0 0.00066335 0 0 0 0 0.00108696 0.000551268
194 12 0.00357143 0 0.00714286 0 0 0 0 0 0.000271739 0.0016538
195 8 0 0 0 0.000331675 0.0047619 0 0 0.000717103 0.000271739 0.000551268
196 11 0 0 0 0.00066335 0.0047619 0 0 0 0.000815217 0.00110254
197 12 0 0 0 0.000331675 0.0166667 0 0 0.000358551 0.000543478 0.000275634
198 10 0 0 0.00357143 0.000331675 0 0.000996016 0 0 0.00108696 0
199 11 0 0 0 0.0013267 0 0.000332005 0 0 0.00163043 0
200 10 0 0 0.00178571 0 0 0 0 0.00179276 0.000815217 0.000275634
201 10 0 0 0 0.000331675 0 0.000332005 0 0.00215131 0.000271739 0.000275634
202 14 0 0 0 0.00066335 0 0.00132802 0 0.00107565 0.00108696 0.000275634
203 17 0 0 0 0.00066335 0 0.00132802 0 0.00250986 0.000543478 0.000551268
204 11 0 0 0 0 0 0.000332005 0 0.00250986 0.000543478 0.000275634
205 9 0 0 0 0.000331675 0 0.000332005 0 0.000358551 0.00108696 0.000551268
