link load
1-2 0.86102
2-1 1
2-3 1
3-2 1
2-4 0.964286
4-2 0.955714
4-5 1
5-4 0.948571
2-6 1
6-2 0.904694
3-7 1
7-3 0.782857
6-8 1
8-6 0.847551
3-9 1
9-3 0.774286
2-10 0
10-2 0.178571
