link load
1-2 0.0165306
2-1 0.151224
2-3 1
3-2 0.950408
2-4 1
4-2 0.949796
4-5 1
5-4 0.857959
2-6 0.932041
6-2 1
3-7 1
7-3 0.958367
6-8 0.0165306
8-6 0.0404082
3-9 1
9-3 0.872041
2-10 0.187347
10-2 0.0134694
