link load
2-1 0.99898
1-2 0
11-1 1
1-11 0
11-2 1
2-11 0.433061
11-10 0
10-11 0.939796
3-2 1
2-3 0.68898
4-3 0.88551
3-4 0
5-4 0.682245
4-5 0
6-5 0.682245
5-6 0
7-6 0.682245
6-7 0
8-4 0.203265
4-8 0
8-7 0.682245
7-8 0
9-3 0.0642857
3-9 0.638776
9-8 0
8-9 0.365306
10-9 0
9-10 0.939796
