#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
1 433 1 1 0 0 0 0 0 0 0 0 1
2 227 1 0 0 0 0 0 0 0 0 0 0
3 144 0 0 0 0 0 0 0 0 0 0 0
4 131 0 0 0 0 0 0 0 0 0 0 0
5 89 0 0 0 0 0 0 0 0 0 0 0
6 75 0 0 0 0 0 0 0 0 0 0 0
7 69 0 0 0 0 0 0 0 0 0 0 0
8 50 0 0 0 0 0 0 0 0 0 0 0
9 45 0 0 0 0 0 0 0 0 0 0 0
10 48 0 0 0 0 0 0 0 0 0 0 0
11 47 0 0 0 0 0 0 0 0 0 0 0
12 49 0 0 0 0 0 0 0 0 0 0 0
13 31 0 0 0 0 0 0 0 0 0 0 0
14 33 0 0 0 0 0 0 0 0 0 0 0
15 36 0 0 0 0 0 0 0 0 0 0 0
16 26 0 0 0 0 0 0 0 0 0 0 0
17 17 0 0 0 0 0 0 0 0 0 0 0
18 32 0 0 0 0 0 0 0 0 0 0 0
19 29 0 0 0 0 0 0 0 0 0 0 0
20 22 0 0 0 0 0 0 0 0 0 0 0
