#rank q_avg rank q_avg
344 NaN 0 NaN
345 NaN 0 NaN
346 NaN 0 NaN
347 2 0 0
348 2 0 0
349 NaN 0 NaN
350 NaN 0 NaN
351 NaN 0 NaN
352 NaN 0 NaN
353 NaN 0 NaN
354 NaN 0 NaN
355 NaN 0 NaN
356 NaN 0 NaN
357 NaN 0 NaN
358 2 0 0
359 NaN 0 NaN
360 NaN 0 NaN
361 2 0 0
362 NaN 0 NaN
363 2 0 0
364 2 0 0
365 NaN 0 NaN
366 NaN 0 NaN
367 2 0 0
368 NaN 0 NaN
369 2 0 0
370 2 0 0
371 NaN 0 NaN
372 2 0 0
373 2 0 0
374 2 0 0
375 NaN 0 NaN
376 NaN 0 NaN
377 NaN 0 NaN
378 NaN 0 NaN
379 NaN 0 NaN
380 2 0 0
381 NaN 0 NaN
382 NaN 0 NaN
383 NaN 0 NaN
384 2 0 0
385 NaN 0 NaN
386 2 0 0
387 2 0 0
388 NaN 0 NaN
389 NaN 0 NaN
390 NaN 0 NaN
391 NaN 0 NaN
392 NaN 0 NaN
393 NaN 0 NaN
394 2 0 0
395 NaN 0 NaN
396 2 0 0
397 2 0 0
398 NaN 0 NaN
399 2 0 0
400 NaN 0 NaN
401 NaN 0 NaN
402 NaN 0 NaN
403 NaN 0 NaN
404 NaN 0 NaN
405 NaN 0 NaN
406 NaN 0 NaN
407 NaN 0 NaN
408 2 0 0
409 2 0 0
410 NaN 0 NaN
411 NaN 0 NaN
412 NaN 0 NaN
413 NaN 0 NaN
414 2 0 0
415 NaN 0 NaN
416 NaN 0 NaN
417 NaN 0 NaN
418 NaN 0 NaN
419 NaN 0 NaN
420 NaN 0 NaN
421 2 0 0
422 2 0 0
423 2 0 0
424 NaN 0 NaN
425 2 0 0
426 2 0 0
427 NaN 0 NaN
428 NaN 0 NaN
429 NaN 0 NaN
430 NaN 0 NaN
431 NaN 0 NaN
432 2 0 0
433 2 0 0
434 2 0 0
435 2 0 0
436 2 0 0
437 2 0 0
438 NaN 0 NaN
439 2 0 0
440 2 0 0
441 NaN 0 NaN
442 NaN 0 NaN
443 NaN 0 NaN
444 NaN 0 NaN
445 NaN 0 NaN
446 NaN 0 NaN
447 2 0 0
448 2 0 0
449 2 0 0
450 NaN 0 NaN
451 NaN 0 NaN
452 NaN 0 NaN
453 NaN 0 NaN
454 NaN 0 NaN
455 NaN 0 NaN
456 NaN 0 NaN
457 2 0 0
458 2 0 0
459 NaN 0 NaN
460 NaN 0 NaN
461 NaN 0 NaN
462 NaN 0 NaN
463 NaN 0 NaN
464 NaN 0 NaN
465 2 0 0
466 NaN 0 NaN
467 NaN 0 NaN
468 NaN 0 NaN
469 NaN 0 NaN
470 NaN 0 NaN
471 NaN 0 NaN
472 2 0 0
473 NaN 0 NaN
474 NaN 0 NaN
475 2 0 0
476 2 0 0
477 NaN 0 NaN
478 NaN 0 NaN
479 NaN 0 NaN
480 NaN 0 NaN
481 NaN 0 NaN
482 NaN 0 NaN
483 NaN 0 NaN
484 NaN 0 NaN
485 NaN 0 NaN
486 NaN 0 NaN
487 NaN 0 NaN
488 NaN 0 NaN
489 2 0 0
490 2 0 0
491 2 0 0
492 NaN 0 NaN
493 NaN 0 NaN
494 NaN 0 NaN
495 NaN 0 NaN
496 NaN 0 NaN
497 NaN 0 NaN
498 NaN 0 NaN
499 NaN 0 NaN
500 NaN 0 NaN
501 2 0 0
502 NaN 0 NaN
503 NaN 0 NaN
504 NaN 0 NaN
505 NaN 0 NaN
506 2 0 0
507 NaN 0 NaN
508 2 0 0
509 2 0 0
510 NaN 0 NaN
511 2 0 0
512 NaN 0 NaN
513 NaN 0 NaN
514 NaN 0 NaN
515 NaN 0 NaN
516 NaN 0 NaN
517 NaN 0 NaN
518 NaN 0 NaN
519 2 0 0
520 2 0 0
521 NaN 0 NaN
522 NaN 0 NaN
523 2 0 0
524 NaN 0 NaN
525 NaN 0 NaN
526 NaN 0 NaN
527 NaN 0 NaN
528 2 0 0
529 NaN 0 NaN
530 NaN 0 NaN
531 NaN 0 NaN
532 2 0 0
533 NaN 0 NaN
534 NaN 0 NaN
535 NaN 0 NaN
536 2 0 0
537 NaN 0 NaN
538 NaN 0 NaN
