	
# Fixed data are:	# Fixed data are:
#replacement=lru;	ctlg=1e5;	csize=1e3;	seed_list=1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20;	window=60;	variance=0.05;	simtime=1800;	network=cost_scenario;	weights=0.333_0.333_0.334;	q=0;	forwarding=nrr;	lambda=100;	xi=1;	alpha=1;		#replacement=lru;	ctlg=1e5;	csize=1e3;	seed_list=1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20;	window=60;	variance=0.05;	simtime=1800;	network=cost_scenario;	weights=0.333_0.333_0.334;	q=0;	forwarding=nrr;	lambda=100;	xi=1;	alpha=1;	
# Columns are:	# Columns are:
#priceratio lce fix0.01 costaware0.01	#priceratio lce fix0.01 costaware0.01
1	0.5137263466526633 0.4790768566754735 0.4409658372619684	1	0.01580448058954915 0.01522618838253191 0.01386830070484217
2	0.50894764227718 0.47456181276591 0.4323214237188583	2	0.01611532403696248 0.01578292755222366 0.01397496477334425
5	0.5052370006049733 0.4710778373917615 0.4142335669337903	5	0.01908451420904422 0.01882333869418239 0.01596399773265783
10	0.5039021814776474 0.4698345684061927 0.3986312324191265	10	0.02109626073643044 0.02081839111207545 0.01768368648043931
100	0.5027210391760926 0.4687436788659931 0.3745947996637801	100	0.02359288431549142 0.02327435953725231 0.01770838729557946
