AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 0 
2 0 0 0 0 0 
3 0 6 7 0 4 
4 0 4 5 3 6 
5 0 0 0 0 0 
6 0 0 0 0 0 
7 0 3 3 1 8 
8 0 0 0 0 0 
9 0 8 5 0 7 
10 0 9 5 2 4 
