AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 0 
2 0 0 0 0 0 
3 0 0 3 1 8 
4 0 2 3 3 6 
5 0 2 4 4 5 
6 0 0 0 0 0 
7 0 0 0 0 0 
8 0 1 9 0 5 
9 0 0 6 2 6 
10 0 0 0 0 0 
