link load
2-1 1
1-2 0
11-1 0.997959
1-11 0
11-2 0
2-11 0
11-10 0
10-11 0.997959
3-2 1
2-3 0
4-3 1
3-4 0
5-4 1
4-5 1
6-5 0
5-6 0
7-6 0
6-7 0
8-4 1
4-8 0
8-7 0
7-8 0
9-3 0.997959
3-9 0.997959
9-8 0
8-9 0.997959
10-9 0
9-10 0.997959
