link load
2-1 1
1-2 1
11-1 1
1-11 0.809388
11-2 0.809388
2-11 1
11-10 1
10-11 1
3-2 1
2-3 0.809388
4-3 1
3-4 0.99102
5-4 1
4-5 0.999184
6-5 1
5-6 1
7-6 1
6-7 0.999592
8-4 1
4-8 0.991837
8-7 1
7-8 1
9-3 1
3-9 0.818367
9-8 1
8-9 0.991837
10-9 1
9-10 0.810204
