AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 4 16 4 1 4 
2 12 1 3 2 6 
3 1 13 3 0 6 
4 0 15 4 0 5 
5 5 12 4 2 4 
6 10 10 4 2 4 
7 1 15 1 2 5 
8 0 19 5 0 4 
9 1 18 3 0 5 
10 1 11 3 2 5 
