AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 0 0 0 0 0 
2 60 0 0 0 0 
3 130 0 0 0 0 
4 123 0 0 0 0 
5 0 0 0 0 0 
6 0 0 0 0 0 
7 0 0 0 0 0 
8 0 0 0 0 0 
9 148 0 0 0 0 
10 232 0 0 0 0 
