#rank q_avg rank q_avg
342 NaN 0 NaN
343 NaN 0 NaN
344 NaN 0 NaN
345 2 0 0
346 NaN 0 NaN
347 2 0 0
348 NaN 0 NaN
349 2 0 0
350 2 0 0
351 NaN 0 NaN
352 NaN 0 NaN
353 NaN 0 NaN
354 NaN 0 NaN
355 NaN 0 NaN
356 2 0 0
357 NaN 0 NaN
358 NaN 0 NaN
359 NaN 0 NaN
360 2 0 0
361 NaN 0 NaN
362 NaN 0 NaN
363 NaN 0 NaN
364 2 0 0
365 NaN 0 NaN
366 2 0 0
367 2 0 0
368 2 0 0
369 NaN 0 NaN
370 NaN 0 NaN
371 2 0 0
372 2 0 0
373 NaN 0 NaN
374 NaN 0 NaN
375 NaN 0 NaN
376 NaN 0 NaN
377 NaN 0 NaN
378 NaN 0 NaN
379 2 0 0
380 NaN 0 NaN
381 NaN 0 NaN
382 2 0 0
383 2 0 0
384 NaN 0 NaN
385 NaN 0 NaN
386 NaN 0 NaN
387 NaN 0 NaN
388 2 0 0
389 2 0 0
390 2 0 0
391 NaN 0 NaN
392 NaN 0 NaN
393 NaN 0 NaN
394 2 0 0
395 NaN 0 NaN
396 NaN 0 NaN
397 NaN 0 NaN
398 NaN 0 NaN
399 2 0 0
400 2 0 0
401 NaN 0 NaN
402 NaN 0 NaN
403 NaN 0 NaN
404 NaN 0 NaN
405 2 0 0
406 NaN 0 NaN
407 2 0 0
408 2 0 0
409 NaN 0 NaN
410 NaN 0 NaN
411 NaN 0 NaN
412 NaN 0 NaN
413 2 0 0
414 NaN 0 NaN
415 2 0 0
416 2 0 0
417 NaN 0 NaN
418 2 0 0
419 NaN 0 NaN
420 NaN 0 NaN
421 2 0 0
422 NaN 0 NaN
423 NaN 0 NaN
424 NaN 0 NaN
425 2 0 0
426 2 0 0
427 NaN 0 NaN
428 NaN 0 NaN
429 2 0 0
430 NaN 0 NaN
431 NaN 0 NaN
432 NaN 0 NaN
433 NaN 0 NaN
434 NaN 0 NaN
435 NaN 0 NaN
436 2 0 0
437 NaN 0 NaN
438 NaN 0 NaN
439 NaN 0 NaN
440 2 0 0
441 NaN 0 NaN
442 NaN 0 NaN
443 NaN 0 NaN
444 2 0 0
445 NaN 0 NaN
446 NaN 0 NaN
447 NaN 0 NaN
448 NaN 0 NaN
449 NaN 0 NaN
450 NaN 0 NaN
451 2 0 0
452 2 0 0
453 NaN 0 NaN
454 NaN 0 NaN
455 NaN 0 NaN
456 NaN 0 NaN
457 2 0 0
458 NaN 0 NaN
459 2 0 0
460 NaN 0 NaN
461 NaN 0 NaN
462 2 0 0
463 NaN 0 NaN
464 2 0 0
465 NaN 0 NaN
466 NaN 0 NaN
467 2 0 0
468 NaN 0 NaN
469 2 0 0
470 NaN 0 NaN
471 2 0 0
472 2 0 0
473 NaN 0 NaN
474 2 0 0
475 2 0 0
476 NaN 0 NaN
477 2 0 0
478 NaN 0 NaN
479 NaN 0 NaN
480 2 0 0
481 NaN 0 NaN
482 NaN 0 NaN
483 NaN 0 NaN
484 2 0 0
485 NaN 0 NaN
486 NaN 0 NaN
487 NaN 0 NaN
488 NaN 0 NaN
489 NaN 0 NaN
490 NaN 0 NaN
491 NaN 0 NaN
492 2 0 0
493 2 0 0
494 2 0 0
495 2 0 0
496 2 0 0
497 2 0 0
498 2 0 0
499 2 0 0
500 2 0 0
501 NaN 0 NaN
502 2 0 0
503 NaN 0 NaN
504 NaN 0 NaN
505 2 0 0
506 2 0 0
507 2 0 0
508 2 0 0
509 2 0 0
510 NaN 0 NaN
511 2 0 0
512 2 0 0
513 2 0 0
514 NaN 0 NaN
515 NaN 0 NaN
516 NaN 0 NaN
517 2 0 0
518 NaN 0 NaN
519 NaN 0 NaN
520 NaN 0 NaN
521 2 0 0
522 2 0 0
523 NaN 0 NaN
524 2 0 0
525 NaN 0 NaN
526 NaN 0 NaN
527 2 0 0
528 NaN 0 NaN
529 2 0 0
530 NaN 0 NaN
531 NaN 0 NaN
532 NaN 0 NaN
533 NaN 0 NaN
534 NaN 0 NaN
535 2 0 0
536 NaN 0 NaN
537 NaN 0 NaN
538 2 0 0
539 NaN 0 NaN
540 2 0 0
541 NaN 0 NaN
542 NaN 0 NaN
543 NaN 0 NaN
544 2 0 0
545 NaN 0 NaN
546 NaN 0 NaN
547 NaN 0 NaN
548 NaN 0 NaN
549 NaN 0 NaN
550 NaN 0 NaN
551 NaN 0 NaN
552 2 0 0
553 NaN 0 NaN
554 NaN 0 NaN
555 2 0 0
556 NaN 0 NaN
557 NaN 0 NaN
558 NaN 0 NaN
559 2 0 0
560 2 0 0
561 2 0 0
562 NaN 0 NaN
563 NaN 0 NaN
564 NaN 0 NaN
565 NaN 0 NaN
566 NaN 0 NaN
567 NaN 0 NaN
568 2 0 0
569 NaN 0 NaN
570 NaN 0 NaN
571 2 0 0
572 NaN 0 NaN
573 2 0 0
574 NaN 0 NaN
575 NaN 0 NaN
576 NaN 0 NaN
577 NaN 0 NaN
578 NaN 0 NaN
579 NaN 0 NaN
580 NaN 0 NaN
581 NaN 0 NaN
582 2 0 0
583 2 0 0
584 NaN 0 NaN
585 2 0 0
586 NaN 0 NaN
587 NaN 0 NaN
588 NaN 0 NaN
589 NaN 0 NaN
590 NaN 0 NaN
591 NaN 0 NaN
592 NaN 0 NaN
593 NaN 0 NaN
594 NaN 0 NaN
595 NaN 0 NaN
596 2 0 0
597 NaN 0 NaN
598 NaN 0 NaN
599 NaN 0 NaN
600 NaN 0 NaN
601 NaN 0 NaN
602 NaN 0 NaN
603 NaN 0 NaN
604 2 0 0
605 NaN 0 NaN
606 2 0 0
607 NaN 0 NaN
608 2 0 0
609 2 0 0
610 NaN 0 NaN
611 NaN 0 NaN
612 NaN 0 NaN
613 2 0 0
614 NaN 0 NaN
615 NaN 0 NaN
616 NaN 0 NaN
617 NaN 0 NaN
618 NaN 0 NaN
619 NaN 0 NaN
620 NaN 0 NaN
621 2 0 0
622 2 0 0
623 NaN 0 NaN
624 NaN 0 NaN
625 2 0 0
626 2 0 0
627 NaN 0 NaN
628 2 0 0
629 NaN 0 NaN
630 NaN 0 NaN
631 NaN 0 NaN
632 NaN 0 NaN
633 2 0 0
634 2 0 0
635 NaN 0 NaN
636 NaN 0 NaN
637 NaN 0 NaN
638 NaN 0 NaN
639 NaN 0 NaN
640 NaN 0 NaN
641 NaN 0 NaN
642 NaN 0 NaN
643 NaN 0 NaN
644 NaN 0 NaN
645 NaN 0 NaN
646 NaN 0 NaN
647 2 0 0
648 NaN 0 NaN
649 NaN 0 NaN
650 2 0 0
651 NaN 0 NaN
652 NaN 0 NaN
653 NaN 0 NaN
654 NaN 0 NaN
655 2 0 0
656 NaN 0 NaN
657 NaN 0 NaN
658 NaN 0 NaN
659 2 0 0
660 NaN 0 NaN
661 NaN 0 NaN
662 NaN 0 NaN
663 NaN 0 NaN
664 2 0 0
665 NaN 0 NaN
666 NaN 0 NaN
667 NaN 0 NaN
668 2 0 0
669 NaN 0 NaN
670 NaN 0 NaN
671 2 0 0
672 2 0 0
673 NaN 0 NaN
674 NaN 0 NaN
675 NaN 0 NaN
676 NaN 0 NaN
677 NaN 0 NaN
678 NaN 0 NaN
679 NaN 0 NaN
680 NaN 0 NaN
681 2 0 0
682 NaN 0 NaN
683 NaN 0 NaN
684 2 0 0
685 NaN 0 NaN
686 NaN 0 NaN
687 NaN 0 NaN
688 NaN 0 NaN
689 NaN 0 NaN
690 NaN 0 NaN
691 2 0 0
692 NaN 0 NaN
693 NaN 0 NaN
694 NaN 0 NaN
695 NaN 0 NaN
696 2 0 0
697 NaN 0 NaN
698 NaN 0 NaN
699 NaN 0 NaN
700 2 0 0
701 2 0 0
702 NaN 0 NaN
703 NaN 0 NaN
704 NaN 0 NaN
705 NaN 0 NaN
706 2 0 0
707 NaN 0 NaN
708 NaN 0 NaN
709 NaN 0 NaN
710 2 0 0
711 2 0 0
712 NaN 0 NaN
713 2 0 0
714 2 0 0
715 NaN 0 NaN
716 2 0 0
717 NaN 0 NaN
718 NaN 0 NaN
719 NaN 0 NaN
720 NaN 0 NaN
721 NaN 0 NaN
722 NaN 0 NaN
723 2 0 0
724 NaN 0 NaN
725 NaN 0 NaN
726 NaN 0 NaN
727 2 0 0
728 NaN 0 NaN
729 NaN 0 NaN
730 NaN 0 NaN
731 NaN 0 NaN
732 NaN 0 NaN
733 NaN 0 NaN
734 NaN 0 NaN
735 NaN 0 NaN
