#rank q_avg rank q_avg
764 NaN 0 NaN
765 NaN 0 NaN
766 NaN 0 NaN
767 NaN 0 NaN
768 1 0 0
769 NaN 0 NaN
770 NaN 0 NaN
771 NaN 0 NaN
772 NaN 0 NaN
773 NaN 0 NaN
774 NaN 0 NaN
775 NaN 0 NaN
776 1 0 0
777 NaN 0 NaN
778 NaN 0 NaN
779 NaN 0 NaN
780 NaN 0 NaN
781 NaN 0 NaN
782 NaN 0 NaN
783 1 0 0
784 NaN 0 NaN
785 NaN 0 NaN
786 1 0 0
787 NaN 0 NaN
788 NaN 0 NaN
789 NaN 0 NaN
790 NaN 0 NaN
791 1 0 0
792 2 0 0
793 NaN 0 NaN
794 NaN 0 NaN
795 2 0 0
796 NaN 0 NaN
797 1 0 0
798 NaN 0 NaN
799 1 0 0
800 NaN 0 NaN
801 NaN 0 NaN
802 2 0 0
803 NaN 0 NaN
804 1 0 0
805 1 0 0
806 1 0 0
807 NaN 0 NaN
808 NaN 0 NaN
809 NaN 0 NaN
810 1 0 0
811 NaN 0 NaN
812 1 0 0
813 1 0 0
814 2 0 0
815 NaN 0 NaN
816 1 0 0
817 NaN 0 NaN
818 NaN 0 NaN
819 1 0 0
820 NaN 0 NaN
821 NaN 0 NaN
822 NaN 0 NaN
823 NaN 0 NaN
824 NaN 0 NaN
825 1 0 0
826 1 0 0
827 1 0 0
828 1 0 0
829 NaN 0 NaN
830 1 0 0
831 1 0 0
832 1 0 0
833 1 0 0
834 1 0 0
835 NaN 0 NaN
836 NaN 0 NaN
837 1 0 0
838 NaN 0 NaN
839 NaN 0 NaN
840 1 0 0
841 NaN 0 NaN
842 NaN 0 NaN
843 1 0 0
844 NaN 0 NaN
845 1 0 0
846 1 0 0
847 NaN 0 NaN
848 NaN 0 NaN
849 NaN 0 NaN
850 NaN 0 NaN
851 1 0 0
852 1 0 0
853 1 0 0
854 NaN 0 NaN
855 NaN 0 NaN
856 NaN 0 NaN
857 NaN 0 NaN
858 NaN 0 NaN
859 1 0 0
860 NaN 0 NaN
861 NaN 0 NaN
862 NaN 0 NaN
863 NaN 0 NaN
864 NaN 0 NaN
865 NaN 0 NaN
866 1 0 0
867 NaN 0 NaN
868 NaN 0 NaN
869 NaN 0 NaN
870 1 0 0
871 NaN 0 NaN
872 1 0 0
873 1 0 0
874 NaN 0 NaN
875 1 0 0
876 NaN 0 NaN
877 1 0 0
878 NaN 0 NaN
879 1 0 0
880 NaN 0 NaN
881 NaN 0 NaN
882 1 0 0
883 1 0 0
884 1 0 0
885 NaN 0 NaN
886 1 0 0
887 1 0 0
888 NaN 0 NaN
889 1 0 0
890 NaN 0 NaN
891 NaN 0 NaN
892 NaN 0 NaN
893 NaN 0 NaN
894 NaN 0 NaN
895 1 0 0
896 NaN 0 NaN
897 1 0 0
898 NaN 0 NaN
899 1 0 0
900 NaN 0 NaN
901 NaN 0 NaN
902 NaN 0 NaN
903 1 0 0
904 NaN 0 NaN
905 NaN 0 NaN
906 NaN 0 NaN
907 1 0 0
908 NaN 0 NaN
909 1 0 0
910 NaN 0 NaN
911 1 0 0
912 NaN 0 NaN
913 1 0 0
914 NaN 0 NaN
915 1 0 0
916 1 0 0
917 NaN 0 NaN
918 NaN 0 NaN
919 1 0 0
920 NaN 0 NaN
921 1 0 0
922 NaN 0 NaN
923 NaN 0 NaN
924 NaN 0 NaN
925 1 0 0
926 1 0 0
927 NaN 0 NaN
928 NaN 0 NaN
929 1 0 0
930 NaN 0 NaN
931 NaN 0 NaN
932 1 0 0
933 1 0 0
934 NaN 0 NaN
935 NaN 0 NaN
936 1 0 0
937 1 0 0
938 1 0 0
939 1 0 0
940 NaN 0 NaN
941 1 0 0
942 1 0 0
943 1 0 0
944 1 0 0
945 NaN 0 NaN
946 NaN 0 NaN
947 NaN 0 NaN
948 1 0 0
949 1 0 0
950 NaN 0 NaN
951 1 0 0
952 2 0 0
953 1 0 0
954 NaN 0 NaN
955 NaN 0 NaN
956 1 0 0
957 NaN 0 NaN
958 2 0 0
959 1 0 0
960 NaN 0 NaN
961 NaN 0 NaN
962 NaN 0 NaN
963 NaN 0 NaN
964 1 0 0
965 1 0 0
966 NaN 0 NaN
967 NaN 0 NaN
968 1 0 0
969 1 0 0
970 NaN 0 NaN
971 1 0 0
972 NaN 0 NaN
973 1 0 0
974 NaN 0 NaN
975 NaN 0 NaN
976 1 0 0
977 1 0 0
978 NaN 0 NaN
979 NaN 0 NaN
980 NaN 0 NaN
981 NaN 0 NaN
982 NaN 0 NaN
983 1 0 0
984 1 0 0
985 NaN 0 NaN
986 NaN 0 NaN
987 NaN 0 NaN
988 NaN 0 NaN
989 NaN 0 NaN
990 1 0 0
991 1 0 0
992 NaN 0 NaN
993 1 0 0
994 NaN 0 NaN
995 1 0 0
996 NaN 0 NaN
997 NaN 0 NaN
998 1 0 0
999 NaN 0 NaN
1000 NaN 0 NaN
