AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 1 1 0 1 0 
2 0 5 0 0 0 
3 0 2 0 0 0 
4 0 5 0 0 0 
5 0 5 0 0 0 
6 2 4 0 0 0 
7 1 1 0 1 0 
8 4 3 0 0 0 
9 0 5 0 0 0 
10 0 5 0 0 0 
11 0 5 0 0 0 
