link load
1-2 0.856939
2-1 1
2-3 1
3-2 1
2-4 0.989184
4-2 1
4-5 1
5-4 0.921633
2-6 0.969184
6-2 1
3-7 1
7-3 0.904286
6-8 1
8-6 0.776531
3-9 1
9-3 0.79551
2-10 0
10-2 0.035102
