AS #q=1 #q=2 #q=3 #q=4 #q=5 
1 9 34 4 1 0 
2 0 0 0 0 0 
3 0 0 0 0 0 
4 0 0 0 0 0 
5 7 38 4 0 0 
6 0 0 0 0 0 
7 7 32 3 1 1 
8 6 36 3 0 1 
9 27 32 3 0 0 
10 0 0 0 0 0 
