#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
1 2322 0 0 0 0 0 0 0 0 0 0 1
2 1202 0 0 0 0 0 1 0 0 0 0 0
3 785 0 0 1 0 0 0 1 0 0 0 0
4 576 0 0 0 1 0 0 0 0 0 0 0
5 463 0 0 0 0 0 0 0 0 0 0 0
6 412 0 0 0 0 0 0 0 0 0 0 0
7 348 0 0 0 0 0 0 0 0 0 0 0
8 283 0 0 0 1 0 0 0 0 1 0 0
9 245 0 0 0 0 0 0 0 0 0 0 0
10 214 0 0 0 0 0 1 0 0 0 0 0
11 225 0 0 0 0 0 0 0 0 0 0 0
12 215 0 0 0 0 0 1 0 0 0 0 0
13 184 0 0 0 0 0 0 0 1 0 0 0
14 185 0 0 0 0 0 0 0 0 1 0 1
15 171 0 0 1 0 0 0 0 0 0 0 0
16 154 0 0 0 0 0 1 0 0 0 0 0
17 129 0 0 0 0 0 0 0 0 0 0 0
18 136 0 0 0 0 0 0 0 0 1 0 0
19 131 0 0 0 0 0 0 0 0 0 0 0
20 118 0 0 0 0 0 0 0 0 0 0 0
21 107 0 0 0 0 0 0 0 0 0 0 0
22 104 0 0 0 0 0 0 0 0 0 0 0
23 115 0 0 0 0 0 0 0 0 0 0 0
24 95 0 0 0 0 0 0 0 0 0 0 0
25 87 0 0 0 0 0 0 0 0 0 0 0
26 88 0 0 0 0 0 0 0 0 0 0 0
27 94 0 0 0 0 0 0 0 0 0 0 0
28 68 0 0 0 1 0 0 0 0 0 0 0
29 84 0 0 0 0 0 0 0 0 0 0 0
30 93 0 0 0 0 0 0 0 0 0 0 0
31 72 0 0 0 0 0 0 0 0 0 0 0
32 69 0 0 0 1 0 0 0 0 0 0 0
33 67 0 0 0 0 0 0 0 0 0 0 0
34 63 0 0 0 0 0 0 0 0 0 0 0
35 78 0 0 0 0 0 0 0 0 0 0 0
36 46 0 0 0 0 0 0 0 0 0 0 0
37 59 0 0 0 0 0 0 0 0 0 0 0
38 58 0 0 0 0 0 0 0 0 0 0 0
39 56 0 0 0 0 0 0 0 1 0 0 0
40 69 0 0 0 1 0 0 0 0 0 0 0
41 49 0 0 1 0 0 0 0 0 0 0 0
42 66 0 0 0 0 0 0 0 0 0 0 0
43 73 0 0 0 0 0 0 0 0 0 0 0
44 45 0 0 0 0 0 0 0 0 0 0 0
45 45 0 0 0 0 0 0 0 0 0 0 0
46 54 0 0 0 0 0 0 0 0 0 0 0
47 39 0 0 0 0 0 0 0 0 0 0 0
48 44 0 0 0 0 0 0 0 0 0 0 0
49 41 0 0 0 0 0 0 0 0 0 0 0
50 51 0 0 0 0 0 0 0 0 0 0 0
51 58 0 0 0 0 0 0 0 0 0 0 0
52 45 0 0 0 0 0 0 0 0 0 0 0
53 38 0 0 0 0 0 0 0 0 0 0 0
54 35 0 0 0 0 0 0 0 0 0 0 0
55 39 0 0 0 0 0 0 0 0 0 0 0
56 38 0 0 0 0 0 0 0 0 0 0 0
57 47 0 0 0 0 0 0 0 0 0 0 0
58 53 0 0 1 0 0 0 0 0 0 0 0
59 40 0 0 0 0 0 0 0 0 0 0 0
60 30 0 0 0 0 0 0 0 0 0 0 0
61 33 0 0 0 0 0 0 0 0 0 0 0
62 29 0 0 0 0 0 0 0 0 0 0 0
63 38 0 0 0 0 0 0 0 0 0 0 0
64 37 0 0 0 0 0 0 0 1 0 0 0
65 41 0 0 0 0 0 0 0 0 0 0 0
66 36 0 0 0 0 0 0 0 0 0 0 0
67 39 0 0 0 0 0 0 0 0 0 0 0
68 45 0 0 0 0 0 0 0 0 0 0 0
69 28 0 0 0 0 0 0 0 0 0 0 0
70 33 0 0 0 0 0 0 0 0 0 0 0
71 45 0 0 0 0 0 0 0 0 0 0 0
72 48 0 0 0 0 0 0 0 0 0 0 0
73 35 0 0 0 0 0 0 0 0 0 0 0
74 26 0 0 0 0 0 0 0 0 0 0 0
75 36 0 0 0 0 0 0 0 0 0 0 0
76 30 0 0 0 0 0 0 0 0 0 0 0
77 31 0 0 0 0 0 0 0 0 0 0 0
78 33 0 0 0 0 0 0 0 0 0 0 0
79 27 0 0 0 0 0 0 0 0 0 0 0
80 36 0 0 0 0 0 0 0 0 0 0 0
81 33 0 0 0 0 0 0 0 0 0 0 0
82 32 0 0 0 0 0 0 0 0 0 0 0
83 26 0 0 0 0 0 0 0 0 0 0 0
84 29 0 0 0 0 0 0 0 0 0 0 0
85 27 0 0 0 0 0 0 0 0 0 0 0
86 23 0 0 0 0 0 0 0 0 0 0 0
87 21 0 0 0 0 0 0 0 0 0 0 0
88 29 0 0 0 0 0 0 0 0 0 0 0
89 26 0 0 0 0 0 0 0 1 0 0 0
90 27 0 0 0 0 0 0 0 0 0 0 0
91 32 0 0 0 0 0 0 0 0 0 0 0
92 24 0 0 0 0 0 0 0 0 0 0 0
93 31 0 0 0 0 0 0 0 0 0 0 0
94 30 0 0 0 0 0 0 0 0 0 0 0
95 32 0 0 0 0 0 0 0 0 0 0 0
96 28 0 0 0 0 0 0 0 0 0 0 0
97 22 0 0 0 0 0 0 0 0 0 0 0
98 19 0 0 0 0 0 0 0 0 0 0 0
99 30 0 0 0 0 0 0 0 0 0 0 0
100 24 0 0 0 0 0 0 0 0 0 0 0
